	_feature_id	_core_var	_ratio_core_cat	_mean_ratio_cat	_RNA_prev	_DNA_prev	_cat	pathway	function_biobakery	Superclass1	Superclass2	function
PWY-2942: L-lysine biosynthesis III	PWY-2942: L-lysine biosynthesis III	core	other	r:d>1	else	DNA exists	a	PWY-2942	 L-lysine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis	L-lysine biosynthesis III
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	core	other	r:d>1	else	DNA exists	a	ILEUSYN-PWY	 L-isoleucine biosynthesis I (from threonine)	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis I (from threonine)
VALSYN-PWY: L-valine biosynthesis	VALSYN-PWY: L-valine biosynthesis	core	other	r:d>1	else	DNA exists	a	VALSYN-PWY	 L-valine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	L-valine biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	core	other	r:d>1	else	DNA exists	a	BRANCHED-CHAIN-AA-SYN-PWY	 superpathway of branched chain amino acid biosynthesis	Biosynthesis	Amino Acid Biosynthesis	superpathway of branched amino acid biosynthesis
PWY-5103: L-isoleucine biosynthesis III	PWY-5103: L-isoleucine biosynthesis III	core	other	r:d>1	else	DNA exists	a	PWY-5103	 L-isoleucine biosynthesis III	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis III
PWY-5104: L-isoleucine biosynthesis IV	PWY-5104: L-isoleucine biosynthesis IV	core	other	r:d>1	else	DNA exists	a	PWY-5104	 L-isoleucine biosynthesis IV	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis IV
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	core	r:d=>1	r:d>1	else	DNA exists	a	SER-GLYSYN-PWY	 superpathway of L-serine and glycine biosynthesis I	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-serine and glycine biosynthesis I
PWY-5030: L-histidine degradation III	PWY-5030: L-histidine degradation III	core	other	r:d>1	else	DNA exists	a	PWY-5030	 L-histidine degradation III	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-histidine degradation III
HISDEG-PWY: L-histidine degradation I	HISDEG-PWY: L-histidine degradation I	core	other	r:d>1	else	DNA exists	a	HISDEG-PWY	 L-histidine degradation I	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-histidine degradation I
TRNA-CHARGING-PWY: tRNA charging	TRNA-CHARGING-PWY: tRNA charging	core	other	r:d>1	else	DNA exists	a	TRNA-CHARGING-PWY	 tRNA charging	Biosynthesis	Aminoacyl-tRNA Charging	tRNA charging
