Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1_0 pair1	decontaminated hg37dec_v0.1_0 pair2	decontaminated hg37dec_v0.1_1 pair1	decontaminated hg37dec_v0.1_1 pair2	decontaminated hg37dec_v0.1_0 orphan1	decontaminated hg37dec_v0.1_0 orphan2	decontaminated hg37dec_v0.1_1 orphan1	decontaminated hg37dec_v0.1_1 orphan2	final pair1	final pair2	final orphan1	final orphan2
CSM5FZ3N_P	9961743.0	9961743.0	8267085.0	8267085.0	541901.0	108911.0	7589748.0	7589748.0	7589748.0	7589748.0	516036.0	101456.0	516036.0	101456.0	7589748.0	7589748.0	516036.0	101456.0
CSM5FZ3R_P	16456391.0	16456391.0	13804726.0	13804726.0	809772.0	185007.0	13475225.0	13475225.0	13475225.0	13475225.0	790246.0	181026.0	790246.0	181026.0	13475225.0	13475225.0	790246.0	181026.0
CSM5FZ3T_P	10511448.0	10511448.0	8829270.0	8829270.0	880718.0	111036.0	8753803.0	8753803.0	8753803.0	8753803.0	877716.0	110154.0	877716.0	110154.0	8753803.0	8753803.0	877716.0	110154.0
CSM5FZ3V_P	17808965.0	17808965.0	15122925.0	15122925.0	1051336.0	177548.0	15060973.0	15060973.0	15060973.0	15060973.0	1049006.0	176899.0	1049006.0	176899.0	15060973.0	15060973.0	1049006.0	176899.0
CSM5FZ3X_P	13160893.0	13160893.0	10507914.0	10507914.0	1062018.0	306717.0	10395847.0	10395847.0	10395847.0	10395847.0	1055236.0	303301.0	1055236.0	303301.0	10395847.0	10395847.0	1055236.0	303301.0
CSM5FZ3Z_P	22250488.0	22250488.0	17915788.0	17915788.0	1799948.0	621109.0	17849255.0	17849255.0	17849255.0	17849255.0	1796062.0	618723.0	1796062.0	618723.0	17849255.0	17849255.0	1796062.0	618723.0
CSM5FZ42_P	29900678.0	29900678.0	23800328.0	23800328.0	2845695.0	685836.0	23683510.0	23683510.0	23683510.0	23683510.0	2838273.0	682239.0	2838273.0	682239.0	23683510.0	23683510.0	2838273.0	682239.0
CSM5FZ44_P	18816698.0	18816698.0	16075624.0	16075624.0	961721.0	247242.0	15901810.0	15901810.0	15901810.0	15901810.0	954735.0	244855.0	954735.0	244855.0	15901810.0	15901810.0	954735.0	244855.0
CSM5FZ46_P	15478187.0	15478187.0	13283184.0	13283184.0	765816.0	157270.0	13275509.0	13275509.0	13275509.0	13275509.0	765390.0	157171.0	765390.0	157171.0	13275509.0	13275509.0	765390.0	157171.0
CSM5FZ4A_P	16960448.0	16960448.0	14398578.0	14398578.0	1081966.0	662463.0	14390235.0	14390235.0	14390235.0	14390235.0	1081432.0	661996.0	1081432.0	661996.0	14390235.0	14390235.0	1081432.0	661996.0
CSM5FZ4C_P	14889168.0	14889168.0	12576498.0	12576498.0	622584.0	158614.0	12568452.0	12568452.0	12568452.0	12568452.0	622172.0	158533.0	622172.0	158533.0	12568452.0	12568452.0	622172.0	158533.0
CSM5FZ4E_P	24678373.0	24678373.0	19736555.0	19736555.0	2394526.0	475506.0	19724759.0	19724759.0	19724759.0	19724759.0	2393392.0	475210.0	2393392.0	475210.0	19724759.0	19724759.0	2393392.0	475210.0
CSM5FZ4G_P	28151278.0	28151278.0	22016528.0	22016528.0	3178148.0	570270.0	22004115.0	22004115.0	22004115.0	22004115.0	3176750.0	569902.0	3176750.0	569902.0	22004115.0	22004115.0	3176750.0	569902.0
CSM5FZ4K_P	13592536.0	13592536.0	11221114.0	11221114.0	1114555.0	174461.0	11216213.0	11216213.0	11216213.0	11216213.0	1114052.0	174369.0	1114052.0	174369.0	11216213.0	11216213.0	1114052.0	174369.0
CSM5FZ4M	14191749.0	14191749.0	14191749.0	14191749.0	NA	NA	14191634.0	14191634.0	14191634.0	14191634.0	3.0	3.0	3.0	3.0	14191634.0	14191634.0	3.0	3.0
CSM5LLGB_P	19834697.0	19834697.0	16429794.0	16429794.0	1276002.0	228898.0	16409341.0	16409341.0	16409341.0	16409341.0	1275318.0	228634.0	1275318.0	228634.0	16409341.0	16409341.0	1275318.0	228634.0
CSM5MCTZ_P	18922580.0	18922580.0	16121039.0	16121039.0	815032.0	273354.0	15901404.0	15901404.0	15901404.0	15901404.0	805426.0	270289.0	805426.0	270289.0	15901404.0	15901404.0	805426.0	270289.0
CSM5MCU4_P	17510036.0	17510036.0	13660445.0	13660445.0	1918724.0	338162.0	13545605.0	13545605.0	13545605.0	13545605.0	1911925.0	335210.0	1911925.0	335210.0	13545605.0	13545605.0	1911925.0	335210.0
CSM5MCU8_P	19158539.0	19158539.0	16028960.0	16028960.0	1573448.0	321889.0	15996322.0	15996322.0	15996322.0	15996322.0	1571070.0	321316.0	1571070.0	321316.0	15996322.0	15996322.0	1571070.0	321316.0
CSM5MCUA_P	20468134.0	20468134.0	16390046.0	16390046.0	1830479.0	377513.0	16379664.0	16379664.0	16379664.0	16379664.0	1829350.0	377248.0	1829350.0	377248.0	16379664.0	16379664.0	1829350.0	377248.0
CSM5MCUC_P	26653935.0	26653935.0	21195495.0	21195495.0	1970680.0	876216.0	21175481.0	21175481.0	21175481.0	21175481.0	1969233.0	875426.0	1969233.0	875426.0	21175481.0	21175481.0	1969233.0	875426.0
CSM5MCUE_P	18075635.0	18075635.0	14399362.0	14399362.0	1431923.0	385496.0	14362873.0	14362873.0	14362873.0	14362873.0	1428626.0	384548.0	1428626.0	384548.0	14362873.0	14362873.0	1428626.0	384548.0
CSM5MCUG_P	21022872.0	21022872.0	17816528.0	17816528.0	1283816.0	247864.0	17733431.0	17733431.0	17733431.0	17733431.0	1277147.0	246950.0	1277147.0	246950.0	17733431.0	17733431.0	1277147.0	246950.0
CSM5MCUK_P	25128831.0	25128831.0	21279472.0	21279472.0	1443336.0	293697.0	21162529.0	21162529.0	21162529.0	21162529.0	1436724.0	292460.0	1436724.0	292460.0	21162529.0	21162529.0	1436724.0	292460.0
CSM5MCUO	15777070.0	15777070.0	15777070.0	15777070.0	NA	NA	15775534.0	15775534.0	15775534.0	15775534.0	42.0	46.0	42.0	46.0	15775534.0	15775534.0	42.0	46.0
CSM5MCUQ_P	21045910.0	21045910.0	17411509.0	17411509.0	1269758.0	284288.0	17373446.0	17373446.0	17373446.0	17373446.0	1268267.0	283871.0	1268267.0	283871.0	17373446.0	17373446.0	1268267.0	283871.0
CSM5MCUS_P	15621854.0	15621854.0	12106492.0	12106492.0	1551689.0	471979.0	12087547.0	12087547.0	12087547.0	12087547.0	1550526.0	471348.0	1550526.0	471348.0	12087547.0	12087547.0	1550526.0	471348.0
CSM5MCUW_P	19282741.0	19282741.0	15215543.0	15215543.0	1830783.0	461828.0	15185595.0	15185595.0	15185595.0	15185595.0	1829208.0	460981.0	1829208.0	460981.0	15185595.0	15185595.0	1829208.0	460981.0
CSM5MCUY_P	26540579.0	26540579.0	22653884.0	22653884.0	2120057.0	526851.0	22561107.0	22561107.0	22561107.0	22561107.0	2115936.0	524856.0	2115936.0	524856.0	22561107.0	22561107.0	2115936.0	524856.0
CSM5MCV1_P	13867973.0	13867973.0	10627446.0	10627446.0	927098.0	524134.0	7874266.0	7874266.0	7874266.0	7874266.0	678141.0	390557.0	678141.0	390557.0	7874266.0	7874266.0	678141.0	390557.0
CSM5MCV5_P	5816851.0	5816851.0	4434425.0	4434425.0	658683.0	191368.0	4434013.0	4434013.0	4434013.0	4434013.0	658607.0	191360.0	658607.0	191360.0	4434013.0	4434013.0	658607.0	191360.0
CSM5MCVB_P	12965979.0	12965979.0	10375345.0	10375345.0	880648.0	268216.0	10366631.0	10366631.0	10366631.0	10366631.0	880148.0	268007.0	880148.0	268007.0	10366631.0	10366631.0	880148.0	268007.0
CSM5MCVD_P	17064614.0	17064614.0	13751729.0	13751729.0	1428558.0	378625.0	13644444.0	13644444.0	13644444.0	13644444.0	1421067.0	375564.0	1421067.0	375564.0	13644444.0	13644444.0	1421067.0	375564.0
CSM5MCVF_P	16756098.0	16756098.0	14324068.0	14324068.0	687178.0	169138.0	14298945.0	14298945.0	14298945.0	14298945.0	686481.0	168880.0	686481.0	168880.0	14298945.0	14298945.0	686481.0	168880.0
CSM5MCVJ_P	22635645.0	22635645.0	18443812.0	18443812.0	1880678.0	398915.0	17725140.0	17725140.0	17725140.0	17725140.0	1759896.0	384157.0	1759896.0	384157.0	17725140.0	17725140.0	1759896.0	384157.0
CSM5MCVL	10614670.0	10614670.0	10614670.0	10614670.0	NA	NA	10614619.0	10614619.0	10614619.0	10614619.0	1.0	5.0	1.0	5.0	10614619.0	10614619.0	1.0	5.0
CSM5MCVN	11276896.0	11276896.0	11276896.0	11276896.0	NA	NA	11275443.0	11275443.0	11275443.0	11275443.0	30.0	26.0	30.0	26.0	11275443.0	11275443.0	30.0	26.0
CSM5MCVV_P	16090586.0	16090586.0	12758464.0	12758464.0	1387550.0	330949.0	12441266.0	12441266.0	12441266.0	12441266.0	1364787.0	322422.0	1364787.0	322422.0	12441266.0	12441266.0	1364787.0	322422.0
CSM5MCVZ_P	17610499.0	17610499.0	14051253.0	14051253.0	1936478.0	316247.0	14017877.0	14017877.0	14017877.0	14017877.0	1933148.0	315498.0	1933148.0	315498.0	14017877.0	14017877.0	1933148.0	315498.0
CSM5MCW4_P	14254660.0	14254660.0	8700813.0	8700813.0	2156191.0	547555.0	8422268.0	8422268.0	8422268.0	8422268.0	2088472.0	531222.0	2088472.0	531222.0	8422268.0	8422268.0	2088472.0	531222.0
CSM5MCW6	9067651.0	9067651.0	9067651.0	9067651.0	NA	NA	9067188.0	9067188.0	9067188.0	9067188.0	8.0	10.0	8.0	10.0	9067188.0	9067188.0	8.0	10.0
CSM5MCWA_P	17583370.0	17583370.0	13026470.0	13026470.0	1564875.0	534958.0	12987816.0	12987816.0	12987816.0	12987816.0	1560587.0	533507.0	1560587.0	533507.0	12987816.0	12987816.0	1560587.0	533507.0
CSM5MCWC	11929917.0	11929917.0	11929917.0	11929917.0	NA	NA	11928225.0	11928225.0	11928225.0	11928225.0	43.0	40.0	43.0	40.0	11928225.0	11928225.0	43.0	40.0
CSM5MCWE	12793053.0	12793053.0	12793053.0	12793053.0	NA	NA	12789072.0	12789072.0	12789072.0	12789072.0	87.0	114.0	87.0	114.0	12789072.0	12789072.0	87.0	114.0
CSM5MCWG	11534988.0	11534988.0	11534988.0	11534988.0	NA	NA	11530561.0	11530561.0	11530561.0	11530561.0	423.0	436.0	423.0	436.0	11530561.0	11530561.0	423.0	436.0
CSM5MCWI_P	22876491.0	22876491.0	18330004.0	18330004.0	2150655.0	414141.0	18284186.0	18284186.0	18284186.0	18284186.0	2147667.0	413095.0	2147667.0	413095.0	18284186.0	18284186.0	2147667.0	413095.0
CSM5MCWK_P	16864331.0	16864331.0	14228532.0	14228532.0	1079870.0	208811.0	13969323.0	13969323.0	13969323.0	13969323.0	1049200.0	205630.0	1049200.0	205630.0	13969323.0	13969323.0	1049200.0	205630.0
CSM5MCWM_P	21039298.0	21039298.0	17987849.0	17987849.0	1226236.0	233044.0	17980424.0	17980424.0	17980424.0	17980424.0	1225698.0	232920.0	1225698.0	232920.0	17980424.0	17980424.0	1225698.0	232920.0
CSM5MCWQ	8976262.0	8976262.0	8976262.0	8976262.0	NA	NA	8975888.0	8975888.0	8975888.0	8975888.0	6.0	9.0	6.0	9.0	8975888.0	8975888.0	6.0	9.0
CSM5MCX3	13416005.0	13416005.0	13416005.0	13416005.0	NA	NA	13399201.0	13399201.0	13399201.0	13399201.0	394.0	372.0	394.0	372.0	13399201.0	13399201.0	394.0	372.0
CSM5MCXB_P	13625956.0	13625956.0	9735585.0	9735585.0	1108253.0	448031.0	9659854.0	9659854.0	9659854.0	9659854.0	1100847.0	444443.0	1100847.0	444443.0	9659854.0	9659854.0	1100847.0	444443.0
CSM5MCXD	11141907.0	11141907.0	11141907.0	11141907.0	NA	NA	11141562.0	11141562.0	11141562.0	11141562.0	4.0	9.0	4.0	9.0	11141562.0	11141562.0	4.0	9.0
CSM5MCXF_P	5965201.0	5965201.0	3649578.0	3649578.0	977679.0	238699.0	3622110.0	3622110.0	3622110.0	3622110.0	970662.0	237028.0	970662.0	237028.0	3622110.0	3622110.0	970662.0	237028.0
CSM5MCXH	12264252.0	12264252.0	12264252.0	12264252.0	NA	NA	12263967.0	12263967.0	12263967.0	12263967.0	3.0	8.0	3.0	8.0	12263967.0	12263967.0	3.0	8.0
CSM5MCXJ	11132309.0	11132309.0	11132309.0	11132309.0	NA	NA	11132142.0	11132142.0	11132142.0	11132142.0	2.0	2.0	2.0	2.0	11132142.0	11132142.0	2.0	2.0
CSM5MCXL	14303962.0	14303962.0	14303962.0	14303962.0	NA	NA	14303679.0	14303679.0	14303679.0	14303679.0	6.0	4.0	6.0	4.0	14303679.0	14303679.0	6.0	4.0
CSM5MCXN	11865989.0	11865989.0	11865989.0	11865989.0	NA	NA	11865895.0	11865895.0	11865895.0	11865895.0	2.0	3.0	2.0	3.0	11865895.0	11865895.0	2.0	3.0
CSM5MCXP	13287987.0	13287987.0	13287987.0	13287987.0	NA	NA	13287360.0	13287360.0	13287360.0	13287360.0	21.0	14.0	21.0	14.0	13287360.0	13287360.0	21.0	14.0
CSM5MCXR	9809611.0	9809611.0	9809611.0	9809611.0	NA	NA	9808733.0	9808733.0	9808733.0	9808733.0	31.0	31.0	31.0	31.0	9808733.0	9808733.0	31.0	31.0
CSM5MCXT	4338539.0	4338539.0	4338539.0	4338539.0	NA	NA	4338327.0	4338327.0	4338327.0	4338327.0	5.0	1.0	5.0	1.0	4338327.0	4338327.0	5.0	1.0
CSM5MCXV	10671026.0	10671026.0	10671026.0	10671026.0	NA	NA	10670715.0	10670715.0	10670715.0	10670715.0	10.0	6.0	10.0	6.0	10670715.0	10670715.0	10.0	6.0
CSM5MCXX_P	13722624.0	13722624.0	9548534.0	9548534.0	778523.0	1133946.0	9510391.0	9510391.0	9510391.0	9510391.0	775652.0	1129255.0	775652.0	1129255.0	9510391.0	9510391.0	775652.0	1129255.0
CSM5MCXZ_P	11137854.0	11137854.0	6724651.0	6724651.0	1708887.0	441199.0	6723572.0	6723572.0	6723572.0	6723572.0	1708462.0	441119.0	1708462.0	441119.0	6723572.0	6723572.0	1708462.0	441119.0
CSM5MCY2	7874708.0	7874708.0	7874708.0	7874708.0	NA	NA	7873719.0	7873719.0	7873719.0	7873719.0	21.0	24.0	21.0	24.0	7873719.0	7873719.0	21.0	24.0
CSM5MCY4	9853009.0	9853009.0	9853009.0	9853009.0	NA	NA	9852453.0	9852453.0	9852453.0	9852453.0	17.0	15.0	17.0	15.0	9852453.0	9852453.0	17.0	15.0
CSM5MCY8	16789877.0	16789877.0	16789877.0	16789877.0	NA	NA	16788250.0	16788250.0	16788250.0	16788250.0	37.0	69.0	37.0	69.0	16788250.0	16788250.0	37.0	69.0
CSM5MCYI_P	10371081.0	10371081.0	6976433.0	6976433.0	350056.0	397486.0	5116887.0	5116887.0	5116887.0	5116887.0	266050.0	288144.0	266050.0	288144.0	5116887.0	5116887.0	266050.0	288144.0
CSM5MCYM_P	15210003.0	15210003.0	10937478.0	10937478.0	1234662.0	1160799.0	10731398.0	10731398.0	10731398.0	10731398.0	1215267.0	1138520.0	1215267.0	1138520.0	10731398.0	10731398.0	1215267.0	1138520.0
CSM5MCYO_P	11389984.0	11389984.0	8306384.0	8306384.0	617649.0	515565.0	7344797.0	7344797.0	7344797.0	7344797.0	557831.0	454151.0	557831.0	454151.0	7344797.0	7344797.0	557831.0	454151.0
CSM5MCYQ_P	16612978.0	16612978.0	10630729.0	10630729.0	2596502.0	802461.0	10395702.0	10395702.0	10395702.0	10395702.0	2541488.0	785794.0	2541488.0	785794.0	10395702.0	10395702.0	2541488.0	785794.0
CSM5MCYS	13145101.0	13145101.0	13145101.0	13145101.0	NA	NA	13138730.0	13138730.0	13138730.0	13138730.0	105.0	112.0	105.0	112.0	13138730.0	13138730.0	105.0	112.0
CSM5MCYU_P	4788502.0	4788502.0	2857106.0	2857106.0	640694.0	327805.0	2763073.0	2763073.0	2763073.0	2763073.0	619849.0	317597.0	619849.0	317597.0	2763073.0	2763073.0	619849.0	317597.0
CSM5MCYW	10510512.0	10510512.0	10510512.0	10510512.0	NA	NA	10510361.0	10510361.0	10510361.0	10510361.0	1.0	3.0	1.0	3.0	10510361.0	10510361.0	1.0	3.0
CSM5MCZ3	11737943.0	11737943.0	11737943.0	11737943.0	NA	NA	11737006.0	11737006.0	11737006.0	11737006.0	17.0	20.0	17.0	20.0	11737006.0	11737006.0	17.0	20.0
CSM5MCZ5	13145331.0	13145331.0	13145331.0	13145331.0	NA	NA	13144366.0	13144366.0	13144366.0	13144366.0	24.0	21.0	24.0	21.0	13144366.0	13144366.0	24.0	21.0
CSM5MCZ7	11624674.0	11624674.0	11624674.0	11624674.0	NA	NA	11624134.0	11624134.0	11624134.0	11624134.0	14.0	9.0	14.0	9.0	11624134.0	11624134.0	14.0	9.0
CSM5MCZB	13903356.0	13903356.0	13903356.0	13903356.0	NA	NA	13903108.0	13903108.0	13903108.0	13903108.0	8.0	15.0	8.0	15.0	13903108.0	13903108.0	8.0	15.0
CSM5MCZD	13361372.0	13361372.0	13361372.0	13361372.0	NA	NA	13361243.0	13361243.0	13361243.0	13361243.0	1.0	8.0	1.0	8.0	13361243.0	13361243.0	1.0	8.0
CSM5MCZF	9159203.0	9159203.0	9159203.0	9159203.0	NA	NA	9159032.0	9159032.0	9159032.0	9159032.0	3.0	2.0	3.0	2.0	9159032.0	9159032.0	3.0	2.0
CSM5YRY7_P	23635336.0	23635336.0	18694132.0	18694132.0	2026384.0	548170.0	16662031.0	16662031.0	16662031.0	16662031.0	1886563.0	489036.0	1886563.0	489036.0	16662031.0	16662031.0	1886563.0	489036.0
CSM67U9B	9352382.0	9352382.0	9352382.0	9352382.0	NA	NA	9352356.0	9352356.0	9352351.0	9352351.0	0.0	3.0	5.0	0.0	9352351.0	9352351.0	0.0	0.0
CSM67U9D	10479816.0	10479816.0	10479816.0	10479816.0	NA	NA	10479623.0	10479623.0	10479623.0	10479623.0	4.0	4.0	4.0	4.0	10479623.0	10479623.0	4.0	4.0
CSM67U9H	5166420.0	5166420.0	5166420.0	5166420.0	NA	NA	5122815.0	5122815.0	5122815.0	5122815.0	763.0	799.0	763.0	799.0	5122815.0	5122815.0	763.0	799.0
CSM67U9H_P	36419733.0	36419733.0	27597212.0	27597212.0	1597357.0	1359728.0	22490405.0	22490405.0	22490405.0	22490405.0	1342008.0	1108691.0	1342008.0	1108691.0	22490405.0	22490405.0	1342008.0	1108691.0
CSM67U9J	9745682.0	9745682.0	9745682.0	9745682.0	NA	NA	9743266.0	9743266.0	9743266.0	9743266.0	45.0	39.0	45.0	39.0	9743266.0	9743266.0	45.0	39.0
CSM67U9N	1210253.0	1210253.0	1210253.0	1210253.0	NA	NA	1092263.0	1092263.0	1092263.0	1092263.0	2488.0	2618.0	2488.0	2618.0	1092263.0	1092263.0	2488.0	2618.0
CSM67U9P_P	5527621.0	5527621.0	2882605.0	2882605.0	528500.0	380168.0	715103.0	715103.0	715103.0	715103.0	142266.0	109893.0	142266.0	109893.0	715103.0	715103.0	142266.0	109893.0
CSM67U9R_P	6839376.0	6839376.0	3578728.0	3578728.0	1140003.0	631471.0	3216848.0	3216848.0	3216848.0	3216848.0	1035866.0	571890.0	1035866.0	571890.0	3216848.0	3216848.0	1035866.0	571890.0
CSM67U9T_P	18128025.0	18128025.0	14059533.0	14059533.0	1375691.0	544704.0	13683331.0	13683331.0	13683331.0	13683331.0	1345297.0	529605.0	1345297.0	529605.0	13683331.0	13683331.0	1345297.0	529605.0
