# features	HSM6XRVK	HSM67VD2	HSMA33OT	PSMA264U	CSM79HI3	MSM6J2RS	MSM9VZMI	CSM79HP4	ESM5ME9U	PSM7J182	PSM7J154	CSM67UGO
1CMET2-PWY: folate transformations III (E. coli)	0.4737717285252399	1.3091186307725846	0.7217520377675971	0.6795242992694427	1.1801741766288583	0.0	1.1284623930925337	0.762500120912766	3.264023526260809	0.7011436922520461	0.8399512746536828	1.172210438272612
1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila	NaN	5.647649939252938	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_finegoldii	5.372780174195649	4.111795977887279	NaN	NaN	NaN	NaN	NaN	2.1987558177689217	NaN	NaN	0.0	Inf
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_putredinis	NaN	NaN	NaN	NaN	NaN	0.0	6.534417153857319	3.4841879589931106	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Anaerostipes.s__Anaerostipes_hadrus	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_caccae	NaN	NaN	Inf	0.0	NaN	0.0	NaN	0.0	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_cellulosilyticus	NaN	NaN	NaN	NaN	NaN	NaN	1.2515465961099612	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_dorei	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_eggerthii	NaN	NaN	1.6610400769539373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_faecis	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_finegoldii	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_fragilis	NaN	0.0	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_massiliensis	0.4835109328092978	NaN	NaN	0.0	NaN	0.0	NaN	0.0	0.0	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_nordii	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_oleiciplenus	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_ovatus	1.2261743274284886	0.0	Inf	0.0	NaN	0.0	NaN	0.0	0.0	NaN	NaN	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_stercoris	0.0	0.0	0.23246728948664994	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	NaN	0.0	NaN	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_uniformis	NaN	0.0	NaN	2.06414611181056	NaN	0.0	0.0	NaN	15.614547084204734	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_vulgatus	NaN	NaN	0.5548558952839657	0.8856636911712699	NaN	0.0	0.8619210681061734	0.8284740728440625	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	1.7462018470027056	1.6408900709812004	NaN	0.0	NaN	NaN	0.0	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Barnesiella.s__Barnesiella_intestinihominis	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_obeum	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_wexlerae	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
