# features	HSM6XRVK	HSM67VD2	HSMA33OT	PSMA264U	CSM79HI3	MSM6J2RS	MSM9VZMI	CSM79HP4	ESM5ME9U	PSM7J182	PSM7J154	CSM67UGO
1CMET2-PWY: folate transformations III (E. coli)	0.4737717285252399	1.3091186307725846	0.7217520377675971	0.6795242992694427	1.1801741766288583	0.0	1.1284623930925337	0.762500120912766	3.264023526260809	0.7011436922520461	0.8399512746536828	1.172210438272612
1CMET2-PWY: folate transformations III (E. coli)|g__Akkermansia.s__Akkermansia_muciniphila	NaN	5.6289921381703065	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_finegoldii	4.888918979526605	4.098212085069387	NaN	NaN	NaN	NaN	NaN	2.244855551560932	NaN	NaN	0.0	Inf
1CMET2-PWY: folate transformations III (E. coli)|g__Alistipes.s__Alistipes_putredinis	NaN	NaN	NaN	NaN	NaN	0.0	5.298051471717586	3.5572384251216747	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Anaerostipes.s__Anaerostipes_hadrus	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_caccae	NaN	NaN	Inf	0.0	NaN	0.0	NaN	0.0	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_cellulosilyticus	NaN	NaN	NaN	NaN	NaN	NaN	1.014743645732707	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_dorei	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_eggerthii	NaN	NaN	1.8865982261195842	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_faecis	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_finegoldii	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_fragilis	NaN	0.0	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_massiliensis	0.4399669630209424	NaN	NaN	0.0	NaN	0.0	NaN	0.0	0.0	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_nordii	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_oleiciplenus	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_ovatus	1.11574766642502	0.0	Inf	0.0	NaN	0.0	NaN	0.0	0.0	NaN	NaN	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_stercoris	0.0	0.0	0.26403479486214937	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	NaN	0.0	NaN	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_uniformis	NaN	0.0	NaN	2.0161384577864485	NaN	0.0	0.0	NaN	16.317320451156462	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_vulgatus	NaN	NaN	0.6302016202488967	0.8650650349888485	NaN	0.0	0.698838484881343	0.8458440936090095	0.0	NaN	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens	1.588942609805176	1.6354691612449141	NaN	0.0	NaN	NaN	0.0	NaN	NaN	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Barnesiella.s__Barnesiella_intestinihominis	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_obeum	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_wexlerae	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Ruminococcus_torques	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	0.0	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_freundii	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Citrobacter.s__Citrobacter_youngae	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Clostridium.s__Clostridium_bolteae_CAG_59	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Coprococcus.s__Coprococcus_comes	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Coprococcus.s__Coprococcus_eutactus	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Dialister.s__Dialister_sp_CAG_357	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0
1CMET2-PWY: folate transformations III (E. coli)|g__Dysgonomonas.s__Dysgonomonas_gadei	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Dysgonomonas.s__Dysgonomonas_mossii	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Dysgonomonas.s__Dysgonomonas_sp_37_18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
1CMET2-PWY: folate transformations III (E. coli)|g__Escherichia.s__Escherichia_coli	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN
