# taxonomy 	CSM67UGO_taxonomic_profile	CSM79HI3_taxonomic_profile	CSM79HP4_taxonomic_profile	ESM5ME9U_taxonomic_profile	HSM67VD2_taxonomic_profile	HSM6XRVK_taxonomic_profile	HSMA33OT_taxonomic_profile	MSM6J2RS_taxonomic_profile	MSM9VZMI_taxonomic_profile	PSM7J154_taxonomic_profile	PSM7J182_taxonomic_profile	PSMA264U_taxonomic_profile
k__Bacteria	100.0	100.0	99.39461	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Eukaryota	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	10.95256	20.95567	27.59288	8.77946	4.31893	89.66502	7.20384	0	0.32971	26.71787	97.43114	13.69091
k__Eukaryota|p__Ascomycota	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	88.73921	0	56.00357	88.92554	38.70311	8.78846	58.31037	100.0	95.22158	71.58595	0	85.47074
k__Bacteria|p__Proteobacteria	0	2.88436	4.17551	0	5.46143	1.54652	32.80081	0	4.44871	0	2.56886	0.83835
k__Bacteria|p__Actinobacteria	0.30823	0	0	2.29501	1.84017	0	1.68498	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	10.4047	17.29385	27.59288	8.77946	4.31893	89.66502	7.20384	0	0.32971	26.71787	97.17525	13.46047
k__Bacteria|p__Firmicutes|c__Negativicutes	0.54786	3.58727	0	0	0	0	0	0	0	0	0	0.23044
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	88.73921	0	56.00357	88.92554	38.70311	8.78846	58.31037	100.0	95.22158	71.58595	0	85.47074
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	76.15996	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0	0	0.60539	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0	0.07455	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0	0	0.11635	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.30823	0	0	2.17865	1.84017	0	1.68498	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	0	11.62266	0	49.67637	0	0	0	0	1.69618	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	0	4.11209	0	5.46143	1.54652	21.26308	0	4.29108	0	0	0.42778
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	2.88436	0	0	0	0	1.37443	0	0.15763	0	2.56886	0.41057
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0.25589	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	10.4047	17.29385	27.59288	8.77946	4.31893	89.66502	7.20384	0	0.32971	26.71787	97.17525	13.46047
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.54786	3.58727	0	0	0	0	0	0	0	0	0	0
