feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6527..stachyose.degradation	diagnosis	Ctl	0.686093816117509	0.153832379027786	187	187	1.65653001371438e-05	0.00540434324009981
PWY.1042..glycolysis.IV	diagnosis	Ctl	0.382304462095966	0.0812651197298547	187	187	8.32666323061039e-06	0.00540434324009981
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	diagnosis	Ctl	-1.93822848056293	0.4188684293224	187	182	9.75262823968065e-06	0.00540434324009981
PENTOSE.P.PWY..pentose.phosphate.pathway	diagnosis	Ctl	-0.655573478529713	0.146281629952064	187	187	1.7034966871867e-05	0.00540434324009981
CALVIN.PWY..Calvin.Benson.Bassham.cycle	diagnosis	Ctl	0.2867919769824	0.068174435422409	187	187	4.53461377487584e-05	0.00959070813386241
PWY.7942..5.oxo.L.proline.metabolism	diagnosis	Ctl	-2.86162328719794	0.674236880620836	187	132	4.14443621881743e-05	0.00959070813386241
GLUTORN.PWY..L.ornithine.biosynthesis.I	diagnosis	Ctl	0.439525659570359	0.106672831238749	187	187	6.80943428353482e-05	0.0109827251830358
PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I	diagnosis	Ctl	-1.4773095313496	0.359620451306694	187	182	6.92370381909273e-05	0.0109827251830358
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	diagnosis	Ctl	0.300005658986704	0.0758712288106528	187	187	0.000127315942635976	0.0112318399923167
ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.	diagnosis	Ctl	0.290396128442321	0.0726810441259085	187	187	0.000109401229439723	0.0112318399923167
PWY.6151..S.adenosyl.L.methionine.salvage.I	diagnosis	Ctl	0.398834097109865	0.098682070467562	187	187	9.40205158388693e-05	0.0112318399923167
AST.PWY..L.arginine.degradation.II..AST.pathway.	diagnosis	Ctl	-2.72413405935856	0.67300130380005	187	113	8.74811299984462e-05	0.0112318399923167
PWY0.1338..polymyxin.resistance	diagnosis	Ctl	-2.7191406073045	0.691381054177376	187	103	0.000132764066103034	0.0112318399923167
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	diagnosis	Ctl	-1.12344415419955	0.28499339935001	187	185	0.000125298126800918	0.0112318399923167
PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage	diagnosis	Ctl	-1.34543549091837	0.337610785140882	187	182	0.000110434910401157	0.0112318399923167
PWY.822..fructan.biosynthesis	Age	Age	0.0597709464344851	0.0152022912611862	187	37	0.00017182354308492	0.0136277547609227
PWY.5103..L.isoleucine.biosynthesis.III	diagnosis	Ctl	0.330238311704762	0.0859345197556817	187	187	0.000189544514406467	0.0141489405165768
PWY.6609..adenine.and.adenosine.salvage.III	diagnosis	Ctl	0.329196676664382	0.0863501550315548	187	187	0.000231707218857087	0.0163353589294246
TRNA.CHARGING.PWY..tRNA.charging	diagnosis	Ctl	0.294454541095835	0.0775681679444855	187	187	0.000244928815300776	0.0163586666640361
PWY.5505..L.glutamate.and.L.glutamine.biosynthesis	Age	Age	-0.04005114921392	0.0108895289778912	187	184	0.000310300567288772	0.0164559466979701
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	diagnosis	Ctl	0.484837648187563	0.130833578934143	187	187	0.000318855356989951	0.0164559466979701
GALACTITOLCAT.PWY..galactitol.degradation	diagnosis	Ctl	-3.09618668730235	0.827411161501986	187	121	0.000281341792046078	0.0164559466979701
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.	diagnosis	Ctl	-2.85530129995465	0.773822396422478	187	120	0.000336722232986232	0.0164559466979701
GALACTARDEG.PWY..D.galactarate.degradation.I	diagnosis	Ctl	-2.2836960661617	0.618819445485121	187	165	0.000350126525488726	0.0164559466979701
GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation	diagnosis	Ctl	-2.2836960661617	0.618819445485121	187	165	0.000350126525488726	0.0164559466979701
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	diagnosis	Ctl	-2.20602670596131	0.592870475347596	187	121	0.000296116637690981	0.0164559466979701
PWY.6803..phosphatidylcholine.acyl.editing	diagnosis	Ctl	-2.98839442060594	0.795852858521439	187	137	0.000263061441732661	0.0164559466979701
PWY.5855..ubiquinol.7.biosynthesis..early.decarboxylation.	diagnosis	Ctl	-2.50171066115638	0.685982300918023	187	108	0.000380394569850264	0.0166455416944822
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.	diagnosis	Ctl	-1.04793599547611	0.287166672209527	187	184	0.00036827933392853	0.0166455416944822
PWY.7094..fatty.acid.salvage	diagnosis	Ctl	-2.3885855356935	0.662144136233152	187	109	0.000445431570140623	0.0172573949581316
PWY.5845..superpathway.of.menaquinol.9.biosynthesis	diagnosis	Ctl	-2.10573337379891	0.583111715663625	187	141	0.000441355404555094	0.0172573949581316
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis	diagnosis	Ctl	-2.15838492722276	0.597262943372237	187	141	0.00043799605519097	0.0172573949581316
PWY0.862...5Z..dodecenoate.biosynthesis.I	diagnosis	Ctl	-1.04400731337954	0.290564485595977	187	185	0.00044877386415945	0.0172573949581316
PWY.5723..Rubisco.shunt	diagnosis	Ctl	-2.70278425652737	0.753921272103134	187	132	0.000480851546650672	0.0174343032199915
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.	diagnosis	Ctl	-1.04507925962639	0.291887093290126	187	184	0.000468898902622483	0.0174343032199915
PWY0.1296..purine.ribonucleosides.degradation	diagnosis	Ctl	0.409388487255965	0.116383668351106	187	187	0.000605460008629163	0.0174620170670547
PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	diagnosis	Ctl	0.249378390775794	0.0702868870168427	187	187	0.000579028277382668	0.0174620170670547
PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	diagnosis	Ctl	0.249378390775794	0.0702868870168427	187	187	0.000579028277382668	0.0174620170670547
PWY.5138..fatty.acid..beta..oxidation.IV..unsaturated..even.number.	diagnosis	Ctl	-2.50555124618973	0.706653700730252	187	120	0.000559027628432369	0.0174620170670547
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.	diagnosis	Ctl	-2.63679093240954	0.739806206185012	187	111	0.000528439473302835	0.0174620170670547
FASYN.ELONG.PWY..fatty.acid.elongation....saturated	diagnosis	Ctl	-0.974768444822785	0.277890999851008	187	184	0.000601890005347907	0.0174620170670547
PWY.7664..oleate.biosynthesis.IV..anaerobic.	diagnosis	Ctl	-1.00765570682283	0.283759322680692	187	184	0.000518697506638794	0.0174620170670547
NAGLIPASYN.PWY..lipid.IVA.biosynthesis..E..coli.	diagnosis	Ctl	-1.02558541083856	0.289381815125827	187	184	0.000550321382665851	0.0174620170670547
PWY.8073..lipid.IVA.biosynthesis..P..putida.	diagnosis	Ctl	-1.02558541083856	0.289381815125827	187	184	0.000550321382665851	0.0174620170670547
FUCCAT.PWY..fucose.degradation	diagnosis	Ctl	-1.09829085576483	0.310306331396635	187	183	0.000624254306079531	0.0176039714314428
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis	Age	Age	0.0710194381467157	0.0200393638849744	187	70	0.000741027945838225	0.0180446398355999
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	Age	Age	-0.0195536947452104	0.00556466804493467	187	187	0.000796296162957915	0.0180446398355999
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY..protocatechuate.degradation.II..ortho.cleavage.pathway.	Age	Age	0.0431833984470677	0.0119884714500242	187	60	0.000776083572017717	0.0180446398355999
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.	diagnosis	Ctl	0.341053019798841	0.0985765175558507	187	187	0.000753296916070897	0.0180446398355999
PWY.5941..glycogen.degradation.II	diagnosis	Ctl	0.382170612248837	0.109651128549781	187	187	0.000686742874926517	0.0180446398355999
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	diagnosis	Ctl	0.402485173210535	0.115250814481529	187	187	0.000672964108205428	0.0180446398355999
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation	diagnosis	Ctl	-1.07057678253329	0.309424505953943	187	178	0.000787073952575664	0.0180446398355999
PWY0.1533..methylphosphonate.degradation.I	diagnosis	Ctl	-2.21596660125965	0.644295651645787	187	92	0.000789377565223609	0.0180446398355999
DARABCATK12.PWY..D.arabinose.degradation.I	diagnosis	Ctl	-2.43016619356875	0.702856416287315	187	107	0.000745738122250061	0.0180446398355999
GLUCARDEG.PWY..D.glucarate.degradation.I	diagnosis	Ctl	-2.00426260618843	0.575370006112096	187	158	0.000702952865879433	0.0180446398355999
PWY.6901..superpathway.of.glucose.and.xylose.degradation	diagnosis	Ctl	-0.390845517802999	0.113212107303801	187	187	0.000769092023928755	0.0180446398355999
PWY.7807..glyphosate.degradation.III	diagnosis	Ctl	-2.17890970177705	0.638647626184278	187	91	0.000867326996275997	0.0190282186956226
PWY.5656..mannosylglycerate.biosynthesis.I	diagnosis	Ctl	-2.76240270271937	0.80982103552451	187	112	0.000869690058586377	0.0190282186956226
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	diagnosis	Ctl	1.03875600663578	0.307260407917736	187	148	0.000911480520819696	0.0196045556088168
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	diagnosis	Ctl	0.422038955641878	0.124867319232378	187	187	0.00101703385565952	0.0202225143446131
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	diagnosis	Ctl	0.230663142720531	0.0677688222929574	187	187	0.000991445559301777	0.0202225143446131
PWY.5971..palmitate.biosynthesis..type.II.fatty.acid.synthase.	diagnosis	Ctl	-1.69087720329521	0.503681056144659	187	127	0.00101989040035874	0.0202225143446131
CITRULBIO.PWY..L.citrulline.biosynthesis	diagnosis	Ctl	-0.827456714991391	0.245261268990519	187	186	0.000958817854434421	0.0202225143446131
PWY.4984..urea.cycle	Age	Age	-0.0390316700473265	0.0113053026614164	187	186	0.000980013489412523	0.0202225143446131
