cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Glucosamine-6-Phosphate;Ribose phosphate;DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572];00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.0017674613449582465
2	Cytidine	00965 Betalain biosynthesis [PATH:ko00965]	0.0017674613449582465
3	Cytidine	00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133]	0.0017674613449582465
4	Cytidine	00310 Lysine degradation [PATH:ko00310]	0.0017674613449582465
5	Cytosine	99979 Unclassified viral proteins;01003 Glycosyltransferases [BR:ko01003];04214 Apoptosis - fly [PATH:ko04214];02026 Biofilm formation - Escherichia coli [PATH:ko02026];01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011];99988 Secondary metabolism;99994 Others;00071 Fatty acid degradation [PATH:ko00071];01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040];00590 Arachidonic acid metabolism [PATH:ko00590];99998 Others;01008 Polyketide biosynthesis proteins [BR:ko01008];99983 Lipid metabolism;05100 Bacterial invasion of epithelial cells [PATH:ko05100];01004 Lipid biosynthesis proteins [BR:ko01004];00710 Carbon fixation in photosynthetic organisms [PATH:ko00710];00965 Betalain biosynthesis [PATH:ko00965];00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364];00633 Nitrotoluene degradation [PATH:ko00633];01053 Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053];05132 Salmonella infection [PATH:ko05132];05133 Pertussis [PATH:ko05133];00310 Lysine degradation [PATH:ko00310];00572 Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572];00121 Secondary bile acid biosynthesis [PATH:ko00121];04146 Peroxisome [PATH:ko04146]	0.0017674613449582465
6	Glucosamine-6-Phosphate;Ribose phosphate;DHAP;Glyceraldehyde 3-phosphate;Sedoheptulose-7-phosphate;Fructose-6-phosphate;Galactose 1-Phosphate;Glucose 6-Phosphate	00194 Photosynthesis proteins [BR:ko00194];00364 Fluorobenzoate degradation [PATH:ko00364]	0.002393605145845251
7	Heptanoic acid;Nonanoic acid;Octanoic acid;Methyl Vanillate;Oxalate;trans-3-Hexenoic acid;Glycerol;2-Methylmaleate;3-Dehydroshikimate;Maleate;Acetoacetate;Phenylpyruvate;Diethyl 2-Methyl-3-Oxosuccinate;10-Hydroxydecanoic acid;3-Hydroxyoctanoic acid;10-HAD;2,6-Dihydroxypyridine;cis-5-Dodecenoic acid;9-Decenoic acid;Undecanoic acid;Decanoic acid;Tridecanoic acid;Azelate;Sorbate;3-Methoxy-4-Hydroxymandelate;3-Methylglutaconate	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.002393605145845251
8	Adenosine Diphosphate Ribose;Deoxyguanosine monophosphate;CMP;AMP;UMP;2-Phosphoglycerate;Phosphoserine	02060 Phosphotransferase system (PTS) [PATH:ko02060]	0.0025961834646969447
9	Cytidine	00121 Secondary bile acid biosynthesis [PATH:ko00121]	0.0027256852400813453
10	2-Acetamido-2-Deoxy-Beta-D-Glucosylamine	00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]	0.0027256852400813453
11	Methyl Vanillate;Oxalate	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.002847876900275795
