feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X3.1.3.25.Inositol.phosphate.phosphatase	diagnosis	Ctl	-0.958641008694534	0.169020144785784	187	187	1.03198305554762e-07	0.000514546751496043
X1.14.14.3.Bacterial.luciferase	Age	Age	0.0891826090256475	0.0160372656633656	187	46	3.23506846586837e-07	0.000659881434276654
X3.1.3.1.Alkaline.phosphatase	diagnosis	Ctl	-1.51883100326024	0.281976159804219	187	186	3.97040574173678e-07	0.000659881434276654
X1.1.1.49.Glucose.6.phosphate.dehydrogenase..NADP....	diagnosis	Ctl	-1.19556614943037	0.24088444071124	187	187	2.31861113530693e-06	0.00161611574161583
X2.6.1.11.Acetylornithine.transaminase	diagnosis	Ctl	0.656400734251992	0.133526719451929	187	187	3.24667155359529e-06	0.00161611574161583
X2.6.1.85.Aminodeoxychorismate.synthase	diagnosis	Ctl	-1.07197782644057	0.220417650702193	187	187	3.56543785755598e-06	0.00161611574161583
X2.7.8.33.N.acetylglucosaminephosphotransferase	diagnosis	Ctl	-1.42279006025071	0.290886645174456	187	186	3.22784662328732e-06	0.00161611574161583
X4.1.1.15.Glutamate.decarboxylase	diagnosis	Ctl	-1.31223751509334	0.257155603773427	187	187	1.32104447117859e-06	0.00161611574161583
X4.1.2.13.Fructose.bisphosphate.aldolase	diagnosis	Ctl	0.403095860716769	0.0822268688359622	187	187	2.91192877122455e-06	0.00161611574161583
X5.1.3.14.UDP.N.acetylglucosamine.2.epimerase..non.hydrolyzing.	diagnosis	Ctl	-0.866029475647342	0.175924100112308	187	187	2.65737159735658e-06	0.00161611574161583
X6.1.1.10.Methionine..tRNA.ligase	diagnosis	Ctl	0.323590663647987	0.0662743096907266	187	187	3.50560068546181e-06	0.00161611574161583
X4.2.1.17.Enoyl.CoA.hydratase	diagnosis	Ctl	-1.44494090406825	0.300119210660207	187	187	4.74383818874783e-06	0.00197106476742473
X1.13.11.53.Acireductone.dioxygenase..Ni.2...requiring.	Age	Age	0.0727637449579066	0.0148821835818865	187	46	7.71507331339903e-06	0.00240420972128797
X1.13.11.54.Acireductone.dioxygenase..Fe.2...requiring.	Age	Age	0.0874240707310751	0.017768894521251	187	60	6.58881255011475e-06	0.00240420972128797
X2.1.1.33.tRNA..guanine.46..N.7...methyltransferase	diagnosis	Ctl	0.353965329535009	0.0743706044262917	187	187	7.3736814644803e-06	0.00240420972128797
X2.6.1.62.Adenosylmethionine..8.amino.7.oxononanoate.transaminase	diagnosis	Ctl	-1.00990962512489	0.216273511457448	187	187	7.36706463789487e-06	0.00240420972128797
X1.8.1.4.Dihydrolipoyl.dehydrogenase	diagnosis	Ctl	-0.920030772978457	0.199863475627742	187	187	9.28754820528668e-06	0.00255825120491268
X1.8.4.14.L.methionine..R..S.oxide.reductase	diagnosis	Ctl	-1.54718546672206	0.334178333866836	187	184	9.74865080091072e-06	0.00255825120491268
X3.1.6.6.Choline.sulfatase	diagnosis	Ctl	-1.48257623153991	0.321149407143183	187	186	9.51007729673473e-06	0.00255825120491268
X2.3.1.181.Lipoyl.octanoyl..transferase	diagnosis	Ctl	-1.3184973655757	0.289983259619218	187	187	1.13922618806068e-05	0.00280896007118129
X3.1.1.31.6.phosphogluconolactonase	diagnosis	Ctl	-1.17566449642819	0.257848147372196	187	187	1.18307584225446e-05	0.00280896007118129
X5.3.1.22.Hydroxypyruvate.isomerase	diagnosis	Ctl	-2.13055875880453	0.466631732142886	187	182	1.27933651098801e-05	0.00289944174717555
X1.1.1.44.Phosphogluconate.dehydrogenase..NADP....dependent..decarboxylating.	diagnosis	Ctl	-0.95863037390834	0.21201639010798	187	187	1.41921718658292e-05	0.00307661604013149
X2.3.1.16.Acetyl.CoA.C.acyltransferase	diagnosis	Ctl	-2.42332794099422	0.538338109168237	187	182	1.69539863350576e-05	0.00313083614320731
X2.8.1.8.Lipoyl.synthase	diagnosis	Ctl	-1.16118870846164	0.259663872562506	187	187	1.60256589267406e-05	0.00313083614320731
X3.1.3.45.3.deoxy.manno.octulosonate.8.phosphatase	diagnosis	Ctl	-1.17889986781266	0.261581042890262	187	187	1.67501674173145e-05	0.00313083614320731
X6.1.1.4.Leucine..tRNA.ligase	diagnosis	Ctl	0.271518404951826	0.060027474902007	187	187	1.60389872868466e-05	0.00313083614320731
X1.2.1.71.Succinylglutamate.semialdehyde.dehydrogenase	diagnosis	Ctl	-3.5514037762929	0.797631440611464	187	127	1.82406522761971e-05	0.00318914219228904
X2.1.1.197.Malonyl..acyl.carrier.protein..O.methyltransferase	diagnosis	Ctl	-0.717375474467383	0.16105839037941	187	187	1.85489618083398e-05	0.00318914219228904
X2.4.2.43.Lipid.IV.A..4.amino.4.deoxy.L.arabinosyltransferase	diagnosis	Ctl	-2.08181582684829	0.46751392538635	187	182	1.95900009039554e-05	0.00325585815023738
X1.4.4.2.Glycine.dehydrogenase..aminomethyl.transferring.	diagnosis	Ctl	-0.910862830990197	0.207078323017211	187	187	2.12072016630542e-05	0.00329709320691621
X3.6.3.12.Transferred.entry.7.2.2.6	diagnosis	Ctl	-1.1582938419966	0.262322366514298	187	187	2.17635542791693e-05	0.00329709320691621
X4.3.3.6.Pyridoxal.5..phosphate.synthase..glutamine.hydrolyzing.	diagnosis	Ctl	1.49653536759211	0.330453427810154	187	187	2.18226739930371e-05	0.00329709320691621
X5.4.99.26.tRNA.pseudouridine.65..synthase	diagnosis	Ctl	-1.8728791168949	0.422719408127292	187	184	2.24831867298739e-05	0.00329709320691621
X5.4.99.28.tRNA.pseudouridine.32..synthase	diagnosis	Ctl	-1.66109390245799	0.377528126734044	187	183	2.43872217122698e-05	0.00347413392735364
X1.1.1.271.GDP.L.fucose.synthase	diagnosis	Ctl	-0.912075524025554	0.212975472117675	187	187	3.45779047964953e-05	0.0038812522734571
X1.15.1.1.Superoxide.dismutase	diagnosis	Ctl	-1.08368868959615	0.252273797251229	187	187	3.45947434183305e-05	0.0038812522734571
X1.21.4.1.D.proline.reductase	diagnosis	Ctl	2.74720519820538	0.641747354684865	187	154	3.54246016621497e-05	0.0038812522734571
X1.5.1.38.FMN.reductase..NADPH.	diagnosis	Ctl	-2.09983255320569	0.491407295939057	187	181	3.92064092870375e-05	0.0038812522734571
X2.1.2.10.Aminomethyltransferase	diagnosis	Ctl	-0.864684757619166	0.20093919707156	187	187	3.14399139359037e-05	0.0038812522734571
X2.3.1.275.Acyl.phosphate.glycerol.3.phosphate.acyltransferase	Age	Age	0.0808446405724415	0.0184876940597008	187	59	3.96999330016671e-05	0.0038812522734571
X2.4.1.157.Transferred.entry.2.4.1.336.and.2.4.1.337	Gender	Male	-2.26443304242559	0.500289870416966	187	83	2.88470666714142e-05	0.0038812522734571
X2.4.2.22.Xanthine.phosphoribosyltransferase	diagnosis	Ctl	0.382160490654428	0.0879995066207365	187	187	3.30284093704933e-05	0.0038812522734571
X2.7.1.16.Ribulokinase	diagnosis	Ctl	-1.60181986555459	0.370603170458505	187	186	3.47203898919067e-05	0.0038812522734571
X2.7.1.71.Shikimate.kinase	diagnosis	Ctl	0.302608723757524	0.069906941183475	187	187	3.96435308103915e-05	0.0038812522734571
X2.7.7.6.DNA.directed.RNA.polymerase	diagnosis	Ctl	0.210558161574551	0.0492035408594993	187	187	3.78104883298779e-05	0.0038812522734571
X3.1.3.77.Acireductone.synthase	Age	Age	0.0858903928308046	0.0192235844416631	187	37	3.81556807267986e-05	0.0038812522734571
X3.4.17.13.Muramoyltetrapeptide.carboxypeptidase	diagnosis	Ctl	-1.34439584962376	0.312343014929205	187	186	3.54781564453888e-05	0.0038812522734571
X3.5.1.16.Acetylornithine.deacetylase	diagnosis	Ctl	-1.78602277804197	0.416724130285815	187	185	3.9108878385176e-05	0.0038812522734571
X3.5.1.54.Allophanate.hydrolase	Gender	Male	2.22642159867636	0.500541489339386	187	132	3.54230118366717e-05	0.0038812522734571
X4.3.2.7.Glutathione.specific.gamma.glutamylcyclotransferase	diagnosis	Ctl	-3.3698311251968	0.783277121410493	187	129	3.34443530608248e-05	0.0038812522734571
X2.3.1.109.Arginine.N.succinyltransferase	diagnosis	Ctl	-3.122651180505	0.731985864520109	187	129	4.10111100502201e-05	0.00388896532759036
X6.1.1.9.Valine..tRNA.ligase	diagnosis	Ctl	0.21975906991039	0.0515395739304953	187	187	4.13387810594242e-05	0.00388896532759036
