feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2.3.1.19.Phosphate.butyryltransferase	Age	Age	-0.0909816200399569	0.0139626499569166	134	131	2.99580751810498e-07	0.00149101340176085
X6.3.2.7.UDP.N.acetylmuramoyl.L.alanyl.D.glutamate..L.lysine.ligase	Age	Age	-0.105312181912454	0.018421461774676	134	129	3.87808339348393e-06	0.00965061052468475
X3.4.14.11.Xaa.Pro.dipeptidyl.peptidase	Age	Age	-0.0901600746923699	0.018077827607106	134	115	1.80364226345773e-05	0.0299224251507637
X1.10.2.2.Transferred.entry.7.1.1.8	Age	Age	0.110516627160425	0.023498949782857	134	35	4.83456683639048e-05	0.0402292206783262
X1.3.7.8.Benzoyl.CoA.reductase	Age	Age	-0.0613191302136723	0.0147262646342684	134	128	5.65811823886444e-05	0.0402292206783262
X3.5.2.10.Creatininase	Age	Age	-0.0752195338328877	0.0161152423683567	134	130	5.18107408567944e-05	0.0402292206783262
X5.1.1.13.Aspartate.racemase	Age	Age	-0.0789145473668456	0.0161912277208772	134	132	4.66748386469273e-05	0.0402292206783262
X6.3.2.31.Coenzyme.F420.0.L.glutamate.ligase	Age	Age	-0.118840791800178	0.0249803888541116	134	103	6.70175630345128e-05	0.0416933014028463
X2.4.1.157.Transferred.entry.2.4.1.336.and.2.4.1.337	Gender	Male	-2.7587321665247	0.622378232248911	134	59	0.000126490160072084	0.0699490585198623
X1.2.99.7.Aldehyde.dehydrogenase..FAD.independent.	Age	Age	-0.0753397712386682	0.0179350402559982	134	131	0.000211788340933854	0.0958245975297994
X1.4.1.11.L.erythro.3.5.diaminohexanoate.dehydrogenase	Age	Age	-0.15110000989758	0.0363107707512333	134	95	0.000207335445739219	0.0958245975297994
X1.21.4.2.Glycine.reductase	Age	Age	-0.126264177366211	0.0310179506674409	134	118	0.00027765667968193	0.11515810789808
X1.13.11.54.Acireductone.dioxygenase..Fe.2...requiring.	Age	Age	0.0964844065982379	0.0240037360976438	134	40	0.000444789110160003	0.152227933410727
X2.5.1.56.N.acetylneuraminate.synthase	Age	Age	-0.0951851007475465	0.0239133514313693	134	124	0.000405802771087542	0.152227933410727
X4.2.1.120.4.hydroxybutanoyl.CoA.dehydratase	Age	Age	-0.0965251409262606	0.0248294711162796	134	117	0.000458794253799658	0.152227933410727
X1.12.1.3.Hydrogen.dehydrogenase..NADP....	Age	Age	-0.127282377785506	0.0330435685386212	134	85	0.000701744407313609	0.167817665416675
X1.13.11.53.Acireductone.dioxygenase..Ni.2...requiring.	Age	Age	0.0753131056368833	0.0193328814737196	134	30	0.000708091415260231	0.167817665416675
X1.14.14.3.Bacterial.luciferase	Age	Age	0.0921699135615039	0.0244038499664794	134	35	0.000597488577190329	0.167817665416675
X1.5.1.39.FMN.reductase..NAD.P.H.	Age	Age	-0.0793408682697872	0.0207277604489418	134	134	0.00060723882541331	0.167817665416675
X2.7.4.14.UMP.CMP.kinase	Age	Age	-0.0746782102311681	0.019559774321173	134	132	0.000701660311315372	0.167817665416675
X4.2.1.119.Enoyl.CoA.hydratase.2	Age	Age	-0.137494504250837	0.0361747064641391	134	102	0.000563122841869661	0.167817665416675
X1.21.4.4.Betaine.reductase	Age	Age	-0.106100430844984	0.0289648042527315	134	116	0.000805228163893461	0.170367424365546
X1.21.98.4.PqqA.peptide.cyclase	Age	Age	0.0632377868563198	0.01651440050555	134	19	0.000868233846862272	0.170367424365546
