# features	A001_0_h_CD_1	A005_2XSw_0_h_CD	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	SH_069	SH_209	SH_211	SH_208	SH_210	SH_201	SH_216	SH_204	SH_207	SH_203	SH_215	SH_217	SH_012	SH_044	SH_108	SH_195	SH_252	SH_093	SH_237	SH_503	SH_045	SH_248	SH_064	SH_089	SH_136	SH_232	SH_024	SH_047	SH_087	SH_142	SH_164	SH_199	SH_250	SH_091	SH_123	SH_013	SH_124	SH_227	SH_011	SH_107	SH_200	SH_111	SH_212	SH_053	SH_029	SH_043	SH_077	SH_129	SH_148	SH_245	SH_021	SH_059	SH_104	SH_138	SH_058	SH_125	SH_079	SH_017	SH_050	SH_103	SH_198	SH_234	SH_501	SH_033	SH_071	SH_240	SH_031	SH_063	SH_112	SH_133	SH_002	SH_028	SH_039	SH_095	SH_141	SH_235	SH_022	SH_054	SH_096	SH_153	SH_193	SH_032	SH_060	SH_146	SH_236	SH_034	SH_109	SH_119	SH_154	SH_162	SH_247	SH_042	SH_110	SH_151	SH_238	SH_051	SH_086	SH_015	SH_073	SH_144	SH_084	SH_150	SH_068	SH_085	SH_113	SH_143	SH_242	SH_094	SH_253	SH_016	SH_061	SH_127	SH_166	SH_230	SH_500	SH_082	SH_152	SH_239	SH_014	SH_066	SH_106	SH_118	SH_194	SH_228	SH_007	SH_023	SH_057	SH_102	SH_137	SH_191	SH_055	SH_099	SH_214	SH_243	SH_072	SH_105	SH_241	SH_083	SH_038	SH_114	SH_160	SH_231	SH_205	SH_078	SH_149	SH_117	SH_502	SH_065	SH_100	SH_134	SH_189	SH_179	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A006_2XSw_0_h_C	C2_A304_stool	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	HY_fresh	Coded	CS	BM	BS	NE	C1_A301_Stool_0h	LDC6	LDC7	LDC1	HP	DA_fresh	CU_fresh	CR	S3_309_0h	S5_363_0h
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	1.36423996974116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.668859014246697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79076957445943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68488981510019	0	0	0	0	0	2.91396010178463	0	0	0	0	2.10297014464229	0	0	0	0	0	1.51933967837098	0	0	0	0	0	0	0	1.38877957656111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY66-388: ceramide degradation by &alpha;-oxidation	0	0	0	0	0	0	0	0.531071008167872	0	0	0	0	0	0	0	0	0	0.011188101708199	0.877180927606258	0.48424496370584	0	0	0	0.00666992069668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266704979925116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422294994869116	0.867424219666509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065184614948136	0	0.253244048108772	0.403758001530243	0.052916199844956	0.303883987252067	0	0	0	0	0	0	0.006975079295657	1.75682990193375	0	0	0	0	0	0	0	0	0	0	0	0	1.41939007309859	3.14316909549023	0.695992097557212	0.859845040137567	0	0	0	0	0	0	0.389445090277266	0	0	0	0	0	0	0	0.167702065311569	0	0	0	0	0.035729019208993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187961050935565	0.034593594440464	0.05347349562159	0	0	0	0	0	0	0.118240988566096	0	0	0	0	0	0.131835041323694	0	0	0	0	0	0	0	0	0	0.100236997893018	0	0	0
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48921025964952	0	0	0	0	0	0	0	0	0	0	0	0	0.591773924016228	0	0	0.945086151459507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753894003658647	0.780835935034451	0.22795400321871	0	0.466646107011285	0	0	0	0	0	0	0	0	1.6044798863226	3.0057204272331	0	0	0	0	0	0	0.512455904027258	0	0	0	0	0	0	0	1.02975011635147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87350023814062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413834933492588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903184054281362	0	0	0	0	0	0	0	0	0	0	0	1.68936049880058
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0.067681003024664	0	0.102861999958855	0	0	0	0	0	0	0	0	0	0	0.101830016646153	0	0	0	0	0	0	0.154395054861195	0.528205001980769	0	0	0	0	3.13360999918526	1.90387054165117	0.720841088822039	0.729970122978067	0.451351959784541	0	0	0	0	0	0	0	5.06338035696831	17.4438956273387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122477034327863	0	0.08659339894789	0.086125821810503	0	0	0	0	0	0	0	0	0	0.560140007085771	4.06763976586665	0	0	0	0	0	0	0	0	2.15059032043796	0.196017963756278	1.10419001656285	1.8038103005148	0	0	0	0	0.047764600231802	0	0	0	0	0	0.041217907830166	2.00299000759133	0	0	0	0	0.034489891804167	0	0	0.593769055564908	0.068358993097109	0	0	0	0.051288094357797	0	0	0	0	7.71042913249962	5.33580003852448	0.252511058489136	0.151180999095938	2.87040032432653	0	0	0	0	0	0	0	0	0	0	0	2.66897012997885	28.8003018181631	0.953809748232379	0.244548951772501	0.208459994402849	0	0	0.422469164530616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102901019724067	0	0.131524972157479	0	0	0.81034421959518	0.373356939997806	0	0	0	0	0	0	0	0.243613976442528	0	0	0	0	0.097048958994583	0	0.888523053400236	0	0	0	0	0	0.805758925870179	0.200939009968584	0	0	0	0.251385944956533	0
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	0	0	0	0.514825006893507	0	0	0	8.37188136855145	0.392817025941636	0	3.24254965859195	0.828043126425624	0	0	0.339208120530822	0.488271001831016	0	0.312575032648775	0	0	0	2.37964067700777	0.46241705697903	0.251718042406939	0	3.91540175312113	3.46481061399909	2.17769019590501	2.88626006147734	2.547119675013	3.99565999204864	2.67811965612944	0	0	0	0.374894971781655	0	0	0	1.64087079908767	0	0	0	1.61597002407795	1.13118999355222	0	0	0	0	1.51707991367815	0	2.25203982636773	0.283652079502005	0	0.112254998636102	2.61345066183025	0	2.45120971303688	3.17621065048794	1.51259996265391	1.07914981168836	0	0	0	1.86899020996236	2.18114002759142	1.4884799143231	0	0.384358979690472	0	0	0.834305807483935	2.86107980656239	1.06009019773862	1.36144971775786	0	0	0.673305010099575	1.54808025791017	0	0	0	0	1.03668000503101	0	1.52960002159795	4.34596000330293	1.18207027107235	4.19764881819395	0	2.44366000926147	0	8.8465196288885	0.86426727986703	0	0	0	1.29763018444515	0	0.108700989023374	0.832604953523991	0	0	1.6424998193086	2.85103946605733	1.49990025657294	0	0.467255980043497	0	0	0	0	0.247767027995196	0.987195050840545	0	0	3.66775017121058	0.0699593960375	0	0	0	0	0.60633189086026	0	0	0	0	0	0	0	0	0	6.11882932851967	0	0	0	0	0	0	0	0	0	0.822838023574309	1.32871009138868	0.188362956621895	0	0	0	0	0	0	0	1.96347053208088	0.839307865114833	0.762264937585747	0	0	2.45708925083349	1.8689898288566	0.967455914960625	1.64509001957657	0	1.19357984799761	1.2003802165846	0.884190229756831	0.845333217174557	0.996357579016006	0.959417300729353	0.94946305706273	0.732326407114896	0	1.097329865204	4.8319998782336	1.14580015144041	0	0.170025008434941	0	0.402673991535793	0	0.770255831344783	1.06273031378175
PWY-6143: CMP-pseudaminate biosynthesis	0	0	0	0	0	1.57308025584577	0	0	0	0	1.54342988717528	0	0	0	0	0.52598210493343	0	0	0	0	0	0.247420000927825	0	0	0.140906014697906	0	0	0	0	0	0	0	1.37732024407492	1.56308014061469	0.689751014691697	0.47136193985893	2.65698999471259	0.702314909822765	7.35204051831886	22.7107943070852	0.351789056377714	6.74417949236561	0.80667098700453	0	0	0.733557357235097	0	0	0	0	0	0	0	0	0	0	0	0	0.505091141566945	5.11421999191953	0	0	0	0.253342970341138	0	0	0	0	0	0	0	0	0	0.704149983325728	1.09959994189714	0	0	0.730925831338864	0.575627961081794	2.90730054229877	0.567656882319052	0	0	0	0	0	0	0	0	0.24360400118221	0.19076298412852	0.189914002681586	0.974508000740626	0.173243039728094	0.091356374279526	0.719253136636518	1.55899000590857	0	0	0	5.09146033354157	4.24421899144624	0	0	0	0	0	0	0	0	0	1.78858030595455	0	0	0	0	0	0	0	0	0	0.607819085198001	0.190881008910325	0	0	0	0	0	0	0	0.672536032752505	1.17104007392776	1.28160966170631	0	0	0	0	0.871378339358294	0	5.00500967767738	12.4283040938834	11.4298004631355	0.207564111592693	0.748680095164727	0.851596029746249	0	0	0	3.07660008814459	1.0388600714528	6.24913856088588	0	0	0	0	0	0	0.301349917641067	0	0.791905872732807	0.711456941745906	0.686679917179535	0	0	0.410589962402277	0	0	2.4776597604103	0.455572941982786	0	0	0	0	0	0.325625019570064	0	0.2477559283143	0.878650892066524	0	0	0	0.520090025801666	0	0.498067989530611	0	0	1.03057030428619
PWY-5005: biotin biosynthesis II	6.88756030780507	10.065000050325	3.43916999862433	0	22.7141000817708	3.75880061133133	12.3884999711348	7.88235012123054	1.42955988606408	2.81739003772485	7.23406947118952	1.43558992654086	10.8190997600324	0.762127124584921	4.32361028553122	2.84999056857312	4.496039526612	2.12745032481912	3.85911968150685	0.936193929832265	1.97458070162776	2.76853001038199	1.27180967506535	4.90161051197812	2.01504021018884	2.03383014348672	3.86535999899501	0	0.234933028948448	0	11.7148989562025	1.86924083695258	0.93412516553632	2.28833020585819	0.292226006224414	4.33828944647765	4.52510999099503	5.57661928396208	3.17135022358019	1.91482952000968	1.36867021934309	2.35128982301841	2.79816995492148	0	0	13.7525066973332	14.2932008918957	6.11050137975121	0.020602600191151	14.4921002159323	12.2781999300143	19.6418986073894	5.59414800596594	0	2.21875035608724	0.934438946830424	0	0.764771941036083	0.357788100280849	1.57512999751129	0.52458599362628	0	4.52379920833514	6.48301924103294	3.01598061767283	2.02453995001411	3.23973943466547	2.57991988178807	0.611508033853085	2.42257910509928	7.57228085067003	3.15113003986179	1.71883990106358	3.91844990721111	4.52705976079016	0.643142081936301	0.49502708479814	1.00482976813553	3.24609978053119	5.89823110019705	0.891890815102115	0.8587691279566	3.95985926782202	5.9963400899451	1.53088025504465	0.238148098402794	0	2.37918995636566	5.80852898751531	19.4439000943612	2.85300976262959	2.90509004101987	3.01491000229133	3.10504071204794	8.69363755239328	5.28378100375988	0.683881002591909	1.07559999684849	1.48817993757085	7.09880229873416	1.69501011104011	14.0573966595408	1.92990986326589	1.34912019176394	8.13603076136976	3.31198966555528	2.39900986608727	2.16022976654397	5.8234698846953	7.33255919334517	7.1450886618678	11.4690019618875	0.398242036040904	18.4413992123678	1.78321979936994	0	1.1489802661383	1.38990999168834	5.2469005928473	3.82112019678769	6.58425810524805	0.764476107156616	3.07150014337763	10.4073994105249	4.52621944644336	3.58263049440301	4.9477601018249	4.75882950508173	10.1136981795343	19.2854044705496	9.58919046699358	1.99588012599991	2.34097938207508	0.486208904114742	1.9125399486483	4.94903876506636	1.86285030513488	6.69719260822166	6.44139929312084	0.647802958281489	2.11065069524834	4.49489018213295	6.9407237315413	0	1.91811006699958	0	7.1407791541033	10.8713007414227	2.14427006143334	0	2.23187948602047	0	2.77724994973178	3.01206057735177	1.15935003767888	1.48655968531018	1.48482039796156	7.06201806995046	3.11375084379534	4.82220922502276	2.20710981928185	6.66446919619837	6.22624937426194	13.7250958152183	7.39540932280237	5.02201955856448	0	3.77248963520025	4.8064993878923	8.73815157662469	0	0	1.76433925452609	1.62718051003973	7.03947042307217	3.46379192559121	0	0.099448487783748	2.4667699378374	16.2810021518601	8.17919924751367	1.56800007778848	4.63235983703358	5.63116988163281	1.41692002213229	7.88166827422992	4.31582127428939
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0.744500033271706	0	1.01761999959295	0	0	0.83007913500407	0	3.05075004692054	0	0.446612005980135	0.743658945638531	0	0	0	0	0	0	0	1.11460990801124	0	0.551337195906646	1.16699000437621	0	0	0	0	2.28139999940684	0	0	0	0	1.47900066222255	3.15125055843311	1.28468011556982	1.29475002757818	0.815053896007273	1.0842699978423	0.263925966111906	1.53970010854886	6.07637847683421	0.361790057980475	0	0	0	0	1.82911089075871	2.07860012970465	1.01214022854126	0	0	0	4.66337966936638	0	0	0	0.302875982766357	2.2178902182404	1.90269985330184	1.0843403039189	0.853320998651753	1.54952998117321	0.351035088896126	0	0	0	0	0	0.106514995119483	0	0	0.388200043610393	0	0	0	0	0	0	0	0.515491965147588	0.41627507764779	0	1.10346016441556	1.46508972910491	0.756625011349375	0.38641206437625	0	0	0	0	0.072486100351775	0	0.108549001532712	0.99281600075454	0.478145109648237	0.19878294403465	0.630118119703539	2.63062000997005	0	0	0	0	0	4.82587965808643	3.81787054267212	0	0.085237791392688	0.371009979290223	4.77550948391069	2.37191995303599	1.6821498149467	5.77496891846382	0	5.42763049120056	7.39654968409336	0	0	0	0	0	0.384011019776568	1.59304954156813	0.955649133953339	0.39994901866962	0.155524991191064	4.12992949490962	0.507978070100974	1.23933002550541	4.18941956430037	3.87589930233813	10.1298023481895	2.18471010639538	0	0.340489910124283	3.06137939626537	1.02358997251661	0	9.77762160157442	0.279576108880916	0.702023922959895	0	0	0	0.348339187277597	0.629037079956903	0.48093701679913	0	0.192489977197637	0	0	0	0	0	0	0	0	0	0	0	0	2.82628954578701	1.0760699118914	0	2.30860976798472	1.8038094500185	0	0	1.09650001304835	0	0.855558891044575	2.4268004378676	0	0	0	0	0.656549039458597	1.28934071677029	0	1.28422984224521	0	0	0	0.628964031202906	0	1.00149997894847	1.49215002330738	0.562349876867871	2.6539307835996
PWY-7992: superpathway of menaquinol-8 biosynthesis III	1.89554008471169	0	2.58718999896512	0	0	2.14789034933289	0	7.62936011733956	0	1.16486001559748	1.92540985925254	0	0	0	0	0	0	0	2.84511976519227	0	1.43555051009416	2.91967001094876	0	0	0	0	5.5203899985647	0	0	0	0	3.74402167638571	7.64529135482208	3.19639028754727	3.24929006920988	2.00347974437602	2.71355999460002	0.695326910720025	3.87607027326295	14.2754964215613	0.952421152635014	0	0	0	0	4.2452520673953	4.72178029463909	2.58804058437956	0	0	0	9.76677930753535	0	0	0	0.798234954580431	5.63575055455786	4.74513963414973	2.73376076621847	2.1956299965309	3.91328995245353	0.914937231698705	0	0	0	0	0	0.277544987282889	0	0	0.997045112008048	0	0	0	0	0	0	0	1.30303991190147	1.09061020343152	0	2.8539604252401	3.03551943873245	1.94389002915835	1.02043017000367	0	0	0	0	0.192172000932611	0	0.286908004051141	2.58147000196192	1.25464028771411	0.527188851575251	1.61134030610632	6.32485002397118	0	0	0	0	0	11.161199209229	9.14430129977099	0	0.226325977145603	0.977985945408824	11.1851987912156	5.71095988692299	3.83681957791148	12.1600977226569	0	12.6996011493139	16.547999293235	0	0	0	0	0	0.999337051465858	3.90272887691171	2.47724034723478	1.04275004867557	0.407635976911498	9.99822877721662	1.31742018180399	3.17084006525589	6.28504934635487	7.62594862732925	20.2462046932727	5.06542024668597	0	0.896519763354643	6.77586866373094	2.256759939406	0	15.838302594314	0.731130284738689	1.8183898004499	0	0	0	0.916668492828482	1.63725020811087	1.26030004402228	0	0.509520939642149	0	0	0	0	0	0	0	0	0	0	0	0	5.99676903625925	2.71013977809375	0	5.22147947524131	4.07797875662428	0	0	2.23919002664636	0	2.18619972158747	3.68636066513005	0	0	0	0	1.71032010279024	2.90209161333077	0	2.98063963385823	0	0	0	1.58969007886452	0	2.31844995126618	3.66260005720981	1.43650968546184	6.26808185071385
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	0	0	0	0	0	0	0.308611004132301	0	0	0	0	3.06127020216628	0	0	0.407313062188558	0	0	0.357783127131079	2.12399000796496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983973069370101	0	0	0	0	0	0	0	0	0	0	0.428445006383831	0	9.71489931121364	0	0	0	0	0	0	0	0	0.628677992361562	4.39336111257477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807578945399588	0	1.57582967331475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23227017515488	0	0	0	0	1.02274997974955	0.212178976658191	0	0	0	0.989072957756694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.482851913086656	0	0	0	0	0	0	0	0	0	1.23137986486837	16.0499989663801	0	1.72376006984676	0	0	0	2.88485057985497	0	0	0.610149017480769	0	1.09791974716006	0	0	0	0	0	0	0	0	0	0.57403895299769	0	0	0.806356754141826	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906611888631796	0	0	0	0	0	0	0	0.555526878361835	2.65156078289984
