Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1_0 pair1	decontaminated hg37dec_v0.1_0 pair2	decontaminated hg37dec_v0.1_1 pair1	decontaminated hg37dec_v0.1_1 pair2	decontaminated hg37dec_v0.1_0 orphan1	decontaminated hg37dec_v0.1_0 orphan2	decontaminated hg37dec_v0.1_1 orphan1	decontaminated hg37dec_v0.1_1 orphan2	final pair1	final pair2	final orphan1	final orphan2
A001_0_h_CD_1_DKDL210010878-1a-N702-N503_HNWKKDSX2_L3	30409190.0	30409190.0	25010960.0	25010960.0	489245.0	831639.0	24910129.0	24910129.0	24910129.0	24910129.0	501632.0	825432.0	501632.0	825432.0	24910129.0	24910129.0	501632.0	825432.0
A002_2XSw_0_h_C_DKDL210010878-1a-N701-N504_HNWKKDSX2_L3	7038858.0	7038858.0	6313815.0	6313815.0	294155.0	212059.0	6309072.0	6309072.0	6309072.0	6309072.0	297741.0	211755.0	297741.0	211755.0	6309072.0	6309072.0	297741.0	211755.0
A004_2XSw_0_h_C_DKDL210010878-1a-N703-N504_HNWKKDSX2_L3	17487865.0	17487865.0	14466734.0	14466734.0	462078.0	403097.0	14392363.0	14392363.0	14392363.0	14392363.0	469237.0	399133.0	469237.0	399133.0	14392363.0	14392363.0	469237.0	399133.0
A005_2XSw_0_h_CD_DKDL210010878-1a-N705-N503_HNWKKDSX2_L3	5957407.0	5957407.0	4251987.0	4251987.0	121626.0	138502.0	3950713.0	3950713.0	3950713.0	3950713.0	118085.0	126554.0	118085.0	126554.0	3950713.0	3950713.0	118085.0	126554.0
A006_2XSw_0_h_C_DKDL210010878-1a-N702-N504_HNWKKDSX2_L3	64766038.0	64766038.0	57012183.0	57012183.0	1930837.0	1827507.0	56962976.0	56962976.0	56962976.0	56962976.0	1965103.0	1823601.0	1965103.0	1823601.0	56962976.0	56962976.0	1965103.0	1823601.0
A007_0_h_CD_1_DKDL210010878-1a-N703-N503_HNWKKDSX2_L3	12608674.0	12608674.0	10682983.0	10682983.0	683803.0	243158.0	10655664.0	10655664.0	10655664.0	10655664.0	689081.0	241712.0	689081.0	241712.0	10655664.0	10655664.0	689081.0	241712.0
A011_0_h_CD_1_DKDL210010878-1a-N704-N503_HNWKKDSX2_L3	57428231.0	57428231.0	51930429.0	51930429.0	2000219.0	1352768.0	51884440.0	51884440.0	51884440.0	51884440.0	2026418.0	1351783.0	2026418.0	1351783.0	51884440.0	51884440.0	2026418.0	1351783.0
A020_2XSw_0_h_CD_DKDL210010878-1a-N706-N503_HNWKKDSX2_L3	6211749.0	6211749.0	4452500.0	4452500.0	166927.0	123937.0	4435288.0	4435288.0	4435288.0	4435288.0	168645.0	122338.0	168645.0	122338.0	4435288.0	4435288.0	168645.0	122338.0
Bacteriodes_Theta_DKDL210010878-1a-N703-N502_HNWKKDSX2_L3	9891223.0	9891223.0	8632056.0	8632056.0	421415.0	186924.0	8626734.0	8626734.0	8626734.0	8626734.0	425974.0	186273.0	425974.0	186273.0	8626734.0	8626734.0	425974.0	186273.0
C1_A301_Stool_0h_DKDL210010878-1a-N704-N504_HNWKKDSX2_L3	37844363.0	37844363.0	32887596.0	32887596.0	873772.0	1077807.0	32846723.0	32846723.0	32846723.0	32846723.0	892341.0	1074636.0	892341.0	1074636.0	32846723.0	32846723.0	892341.0	1074636.0
