# taxonomy 	A001_0_h_CD_1_DKDL210010878-1a-N702-N503_HNWKKDSX2_L3_taxonomic_profile	A002_2XSw_0_h_C_DKDL210010878-1a-N701-N504_HNWKKDSX2_L3_taxonomic_profile	A004_2XSw_0_h_C_DKDL210010878-1a-N703-N504_HNWKKDSX2_L3_taxonomic_profile	A005_2XSw_0_h_CD_DKDL210010878-1a-N705-N503_HNWKKDSX2_L3_taxonomic_profile	A006_2XSw_0_h_C_DKDL210010878-1a-N702-N504_HNWKKDSX2_L3_taxonomic_profile	A007_0_h_CD_1_DKDL210010878-1a-N703-N503_HNWKKDSX2_L3_taxonomic_profile	A011_0_h_CD_1_DKDL210010878-1a-N704-N503_HNWKKDSX2_L3_taxonomic_profile	A020_2XSw_0_h_CD_DKDL210010878-1a-N706-N503_HNWKKDSX2_L3_taxonomic_profile	Bacteriodes_Theta_DKDL210010878-1a-N703-N502_HNWKKDSX2_L3_taxonomic_profile	C1_A301_Stool_0h_DKDL210010878-1a-N704-N504_HNWKKDSX2_L3_taxonomic_profile	C2_A304_stool_DKDL210010878-1a-N705-N504_HNWKKDSX2_L3_taxonomic_profile	G95_027_3_5_M_Hs6_DKDL210010878-1a-N701-N503_HNWKKDSX2_L3_taxonomic_profile	G95_027_3_5_vs_10_DKDL210010878-1a-N706-N504_HNWKKDSX2_L3_taxonomic_profile	G_027_3_14_0119_1_DKDL210010878-1a-N705-N502_HNWKKDSX2_L3_taxonomic_profile	G_029_3_16_0119_1_DKDL210010878-1a-N706-N502_HNWKKDSX2_L3_taxonomic_profile	S1_Bacteriodes_F_DKDL210010878-1a-N705-AK394_HNWKKDSX2_L3_taxonomic_profile	S2_C_41569860_P1_DKDL210010878-1a-N701-N502_HNWKKDSX2_L3_taxonomic_profile	S3_309_0h_DKDL210010878-1a-N701-AK394_HNWKKDSX2_L3_taxonomic_profile	S5_363_0h_DKDL210010878-1a-N703-AK394_HNWKKDSX2_L3_taxonomic_profile	S6_363_24h_DKDL210010878-1a-N704-AK394_HNWKKDSX2_L3_taxonomic_profile	S6_C_41671867_DKDL210010878-1a-N702-N502_HNWKKDSX2_L3_taxonomic_profile	Vilionela_DKDL210010878-1a-N704-N502_HNWKKDSX2_L3_taxonomic_profile
k__Archaea	0	0.14198	0	0	0.08595	0	0	0	0	0	0.9164	0	0	0	0	0	0	0.0004	0	0	0	0
k__Bacteria	100.0	99.85802	100.0	100.0	99.91405	100.0	100.0	100.0	100.0	100.0	99.08171	99.9997	100.0	99.99983	100.0	100.0	100.0	99.9996	99.63655	99.64335	100.0	100.0
k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0.00189	0.0003	0	0.00017	0	0	0	0	0.36345	0.35665	0	0
k__Bacteria|p__Firmicutes	75.09402	74.15369	79.77433	63.67702	83.37293	43.31209	22.84796	57.47312	0.09112	90.11628	54.80952	13.79104	22.76244	15.15414	40.82575	0.03186	84.02835	63.16138	44.49316	40.62177	0.12862	78.20098
k__Eukaryota|p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20756	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0.14198	0	0	0.08595	0	0	0	0	0	0.9164	0	0	0	0	0	0	0.0004	0	0	0	0
k__Bacteria|p__Bacteroidetes	22.19637	24.71941	19.572	9.68037	15.08232	40.7994	0.09677	37.05946	99.83698	9.30256	35.11995	24.90062	28.2285	26.31504	14.50147	99.94962	6.79874	34.70671	49.41665	54.25448	0.02207	0.01117
k__Bacteria|p__Synergistetes	0	0	0	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	2.56584	0.84833	0.25825	5.17712	0.64069	0.13896	0.20637	0.10087	0.06546	0.39735	3.93964	15.12835	10.94501	14.40705	39.53203	0.00249	0.42774	1.22088	1.88956	2.21893	0.01886	21.7631
k__Bacteria|p__Proteobacteria	0.14377	0.12288	0.39541	21.24355	0.78659	15.74955	76.8489	5.36656	0.00643	0.18381	2.46476	46.15904	38.05514	44.10763	5.13604	0.01602	8.17091	0.84823	0.09271	0.11406	99.83045	0.02475
k__Bacteria|p__Verrucomicrobia	0	0.01371	0	0.22193	0.01001	0	0	0	0	0	2.74658	0.02066	0.00892	0.01597	0.00471	0	0.36671	0.06239	3.74445	2.43411	0	0
