#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	73.01672
k__Bacteria|p__Firmicutes	23.41758
k__Bacteria|p__Verrucomicrobia	2.04365
k__Bacteria|p__Proteobacteria	1.49245
k__Bacteria|p__Actinobacteria	0.02961
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	73.01672
k__Bacteria|p__Firmicutes|c__Clostridia	21.20686
k__Bacteria|p__Firmicutes|c__Negativicutes	2.20167
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2.04365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.25802
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.15108
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.08334
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.02961
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.00904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	73.01672
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	21.20686
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.20167
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2.04365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	1.25802
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.15108
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.08334
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01822
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.01139
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.00904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	39.485
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	21.5425
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	13.09353
