#SampleID	Metaphlan2_Analysis
k__Bacteria	99.99586
k__Viruses	0.00414
k__Bacteria|p__Firmicutes	66.24104
k__Bacteria|p__Bacteroidetes	30.06615
k__Bacteria|p__Actinobacteria	3.17952
k__Bacteria|p__Proteobacteria	0.50915
k__Viruses|p__Viruses_noname	0.00414
k__Bacteria|p__Firmicutes|c__Clostridia	60.73543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	30.06615
k__Bacteria|p__Firmicutes|c__Negativicutes	5.19303
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.17952
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.40045
k__Bacteria|p__Firmicutes|c__Bacilli	0.29974
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.10869
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01284
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.00414
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	60.73543
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	30.06615
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.19303
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.80787
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.37165
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.29974
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.24962
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.15084
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.10869
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01284
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.00414
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	43.62473
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	29.16152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	14.36102
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	5.19303
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.80787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2.54601
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.90463
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.37165
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.29974
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.24962
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.15084
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.14301
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.06066
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.05719
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.0515
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01284
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.00414
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	29.16152
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	23.97517
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	11.06115
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	10.24031
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	4.98696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	4.49297
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	3.17344
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2.80787
