#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	91.57341
k__Bacteria|p__Firmicutes	8.36456
k__Bacteria|p__Actinobacteria	0.06053
k__Bacteria|p__Proteobacteria	0.0015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	91.57341
k__Bacteria|p__Firmicutes|c__Clostridia	6.08832
k__Bacteria|p__Firmicutes|c__Negativicutes	2.26497
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.06053
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	91.57341
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	6.08832
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2.26497
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.043
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.01753
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	81.13152
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	10.44189
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.38346
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	2.26497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.68577
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	1.09253
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.72004
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.18322
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.0233
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.01753
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.01126
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.0015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	81.13152
