# features	HSM67VEO	CSM5MCUQ_P	CSM67UAU	CSM79HJM	CSM5FZ3T_P	CSM79HNO	HSM5MD4U_P	MSM5LLFG_P	HSM5MD87_P	HSM7J4HM	MSM5LLFK_P	MSM6J2K2	MSM9VZL5	MSM9VZMO	MSMA267V	PSM6XBVI	PSM7J4EF	MSM5LLHV_P	MSM79H5E	MSM5LLIS_P	MSM6J2JN	MSM6J2Q1	ESM5MEB7	HSM5MD57_P	MSM5LLIQ_P	MSM79H7C	HSM7J4LP	HSM5MD8P_P	CSM5MCV1_P	MSM79H8D	PSM6XBRK_TR	PSM6XBSE	HSM5MD8A_P	CSM5MCU4_P	HSM7J4JH	HSMA33IE	PSM7J199	CSM67U9H	ESM5MEEJ_P	PSM6XBSI	CSM6J2H9_P	HSM6XRQB	PSM6XBT3	PSM7J177	CSM7KORO	CSM5MCUG_P	ESM5GEYU_P	MSM5LLHR_P	ESM5GEYY_P	ESM5MEE2_P	ESM5MEA7_P	MSM6J2JZ	HSM6XRR5	CSM79HHO	HSM67VI3	HSM7CZ3A	ESM5MEDZ_P	HSM7J4J7	MSM5LLIC_P	HSM5MD62	HSM6XRUL	MSM9VZFL	HSM7J4NO	PSMA265X	CSM5MCXT	ESM5MEDN	MSM5LLDI	PSMA266U	HSM5MD82_P	MSM5LLH2_P	MSM9VZMM	MSM5LLDK	CSM5MCTZ_P	HSM7CZ2Z
1CMET2-PWY: folate transformations III (E. coli)	0.9321718132860218	2.0094810455969463	1.2472881278687311	1.0218005882083168	0.9798145698398697	1.2393496122371455	2.085967759355881	1.715769814990541	0.9928398932823342	0.6695714778002703	0.7456185727132106	0.6351157812038019	1.092881824407543	0.9782410730042681	0.7833654907688913	1.2044239374008288	0.0	1.532677432289235	0.0	0.594516988957343	1.1309774340152987	1.0810510949310592	1.1912673090178987	1.7551038931250775	Inf	1.1852845173581583	NaN	0.46236638927445733	0.8431595376607552	1.0865450524620144	0.0	0.8148867721479747	0.7028293629101607	0.4452524524724964	1.0134007184828937	1.2763048253616993	1.7317888812216633	0.4163012023943308	0.9460886211860207	1.3136274422326224	2.008740910843586	1.8300896964250286	2.2382302703236654	NaN	1.4549811296796031	0.8509221683270507	0.7780128337739206	0.42737154316919457	2.415436236478977	0.951044709688066	1.2029682021893018	0.0	1.3972377168287204	0.794320442673502	1.1220246457816123	1.1782585030726764	0.9826504882478686	1.023785326531551	0.8035518856016141	1.892369244386502	0.9278685345110939	1.3802300679997908	1.3174247341417384	0.9463076936017892	0.903099340572544	2.5682759547694958	0.0	0.6590450822119969	0.0	0.6912700638460739	1.3640175809126747	1.2156107769120337	1.0126290573939232	0.0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7ALPHADEHYDROX-PWY	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	Inf	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AEROBACTINSYN-PWY: aerobactin biosynthesis	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	NaN	0.0	NaN	0.0	NaN	NaN	0.0	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN
ANAEROFRUCAT-PWY: homolactic fermentation	1.183988837954426	0.0	1.7678444050798936	3.2182039296614615	0.7945660608227195	1.2574402023859224	0.7680859124114249	0.0	1.0564784411202168	2.18819249423864	Inf	1.4460595812099275	0.32124413137300045	0.691789635901821	1.1953356651524494	1.9459899293113725	0.0	1.661536866262793	0.0	5.144864590442574	2.3868898251010084	0.528031418509753	2.139175789604144	0.0	NaN	0.4171200596306662	NaN	2.635534223009616	0.8333764389570718	0.6582586966084452	0.0	2.496476564086988	0.0	3.91031165987415	4.043551567496112	1.1525047093008594	2.368006926762208	2.66885876224256	0.0	0.0	0.0	0.0	2.7040771574037974	NaN	4.43846675825473	0.9353778285699579	2.0417463793693456	1.3921614697193883	2.7986888523441764	3.9379014651944413	0.3616662624207373	0.0	2.0690697635676027	0.6511753636885161	2.2337372121118553	1.560514023108563	3.0331167913012083	3.17724389276602	1.6534603205472054	1.8998359796481143	1.174142858397303	0.0	1.2032937337050607	0.9162111141024091	1.4579056325952657	0.0	0.0	2.5000522103470053	0.0	2.9332583941921677	0.9780119408080292	3.8378257909231968	1.6533007856790327	0.0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1.6594075871263623	4.701311282429714	2.583696833255902	2.934441503592473	1.5074460918414512	2.1366381084972184	2.4047803390685574	3.4350032246418936	2.569792540638049	2.6794740569133757	2.0962963761230884	4.164080642719934	1.621536188667771	2.597940837500572	4.2916046491972635	2.4735863734416887	0.0	3.263679122367245	0.0	8.58259049212817	2.5620496719755557	2.7766831798376788	2.3642468654152533	5.352219525285369	NaN	1.71585192127272	0.0	5.5866550182352785	2.2734355151130505	2.2731164324539344	6.20592205816529	2.3904338743363853	5.228927793948443	2.195803910296478	4.002569832975758	2.712525320363548	1.7091528073812399	1.555498682870557	3.802854306813321	3.506664763879213	4.2417672547752145	2.006552757736546	2.1422865671781577	NaN	2.1126208888755134	2.871209172786626	2.529799926150665	2.809205347398215	4.035270324394314	3.340483444986699	4.04434865308043	3.651574664203316	3.3356837814885236	1.72072231131019	3.1104256725821955	2.361766577401238	2.34614879120691	2.178715742150437	2.081217168610474	2.233597713429127	2.4444624201106455	1.8812476528636068	4.46220756619149	2.01129928806469	1.9496724053062107	7.587119585906783	0.0	1.0320736375715664	8.0393321612497	2.7820773767862232	2.134866363894572	3.2860726375918614	2.017151466750032	0.0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0	0.0	NaN	0.0	0.0	0.12945938112571143	0.0	0.0	0.0	1.2123542099257347	NaN	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	NaN	NaN	0.2399045129821847	NaN	NaN	0.7340680970913298	0.0	0.0	0.0	NaN	0.0	0.0	0.0	NaN	0.0	0.0	0.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.642742981647875	0.0	0.322900713373257	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.7259157563122723	0.0	0.0	0.0	0.0	0.0	NaN
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	NaN	0.0	NaN	NaN	NaN	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.63276126259256	0.5939256302291915	0.4176723889973854	0.3831833905252524	0.21065822543200216	0.4156664740951803	1.181176521299428	0.45417346006534304	0.931885282905317	0.40128612567165795	0.4035799490865794	1.2118481013040394	0.6088313896164679	0.9043742102302392	1.1996571103906772	0.4967150915512519	0.0	1.6135934787555628	0.0	2.673111588068237	0.49246860258858577	0.6063584566614842	0.0	0.9707581159752073	0.0	0.7770052352411714	NaN	0.6842368852076042	0.6748291319402328	0.6218174904922905	0.0	1.0334927298457564	0.4652053169587334	0.0	NaN	0.5881566961294635	0.7334996209763033	1.5877928454344852	0.617177849797493	0.7956816178807007	0.49833627904072647	0.0	0.4341630198872111	NaN	0.31868532870554045	0.3351876174844211	0.39969302829844366	0.0	1.5928123576156894	0.6696062828083242	0.8165459029062357	0.9777384390565022	0.6708391548544412	0.45267157963086907	0.5441227989221136	0.47416465243200806	0.5577956417756866	0.3057241298379706	0.5950290053555451	0.861300019597697	0.42359890243229614	0.3004095517612998	0.3472170109434543	0.26880250594366306	0.7790329205749135	1.9710614318142947	0.0	1.3100898141251645	2.463735640577989	1.47260031884075	0.7350228127238158	0.0	0.4895164332485436	0.0
