# Pathway	A001_0_h_CD_1	A002_2XSw_0_h_C	A004_2XSw_0_h_C	A005_2XSw_0_h_CD	A006_2XSw_0_h_C	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	A_302	A_311	A_312	A_413	A_416	A_419	A_422	A_423	A_425	A_455	BM	BS	C1_A301_Stool_0h	C2_A304_stool	CR	CS	CU_fresh	Coded	DA_fresh	HP	HY_fresh	LDC1	LDC6	LDC7	NE	S3_309_0h	S5_363_0h	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_025	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_062	SH_063	SH_064	SH_065	SH_066	SH_068	SH_069	SH_070	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_080	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_090	SH_091	SH_093	SH_094	SH_095	SH_096	SH_097	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_122	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_136	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_181	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_201	SH_203	SH_204	SH_205	SH_206	SH_207	SH_208	SH_209	SH_210	SH_211	SH_212	SH_214	SH_215	SH_216	SH_217	SH_227	SH_228	SH_230	SH_231	SH_232	SH_234	SH_235	SH_236	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_248	SH_250	SH_251	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73812e-05	0	0	0	0	0	0	0	1.99693e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79123e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51183e-05	2.46837e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12127e-05	0	0	0	0	0	0	0	8.15659e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0.00829232	0.00834877	0.00758104	0.00469939	0.00827348	0.00551005	0.00342158	0.00626619	0.00569324	0.00576371	0.00929012	0.00919879	0.00851473	0.00688514	0.00800167	0.0069782	0.00790496	0.00858439	0.0076785	0.00598966	0.0082598	0.00753814	0.0061679	0.00557147	0.00652716	0.00814002	0.00739318	0.00636291	0.00740059	0.00598964	0.00630419	0.00700202	0.00623954	0.00798934	0.00873967	0.00479556	0.0106859	0.00702517	0.0082314	0.00806072	0.00596708	0.00816315	0.0084122	0.00632527	0.00462768	0.00862168	0.00793107	0.00822911	0.00444901	0.00780067	0.00665535	0.00601943	0.00767717	0.00639995	0.00522499	0.00794358	0.0066503	0.00741591	0.00753659	0.00625624	0.00656901	0.00853	0.00604533	0.00979505	0.0030393	0.0109452	0.00582102	0.00814426	0.00733383	0.0095349	0.00672131	0.00577071	0.0133308	0.00777309	0.012541	0.00660519	0.00685828	0.00802274	0.0069067	0.00566668	0.0046749	0.00608922	0.00825913	0.010448	0.0108354	0.0101068	0	0.00791293	0.00788781	0.00660539	0.00679057	0.00719908	0.00653936	0.0037437	0.00963623	0.00640602	0.00610435	0.00781581	0.00755302	0.00956825	0.00746106	0.00973111	0.00822162	0.00813819	0.00569444	0.00727108	0.00817612	0.00494516	0.00686953	0.00749222	0.0064765	0.00850015	0.00570258	0.00731091	0.00661812	0.00779003	0.00761643	0.00819763	0.00726909	0.0186891	0.00783174	0.00851555	0.00559635	0.0073344	0.0063681	0.00659129	0.00475786	0.00797614	0.00705971	0.00848317	0.00849538	0.00579212	0.00799371	0.00603779	0.00767257	0.00743537	0.00750793	0.00752545	0.00783497	0.0101267	0.00864138	0.00729238	0.00965071	0.00734071	0.00692271	0.00714191	0.00735725	0	0.00737993	0.00734151	0.0084785	0.00374706	0.00719584	0.00834206	0.00761056	0.00909572	0.00509203	0.00721505	0.00824409	0.00815549	0.00766297	0.00884494	0.00779551	0.00705995	0.00509782	0.0105944	0.00689705	0.006309	0.00742849	0.00511616	0.0063139	0.00800665	0.00642643	0.0079068	0.00665217	0.00764577	0.00917033	0.00770233	0.00768817	0.00731921	0.00672474	0.00596553	0.00771175	0.00697091	0.0103222	0.00763853	0.00903273	0.00582971	0.00748091	0.00768826	0	0.00762345	0.00922801	0.00901326	0.00513546	0.00711974	0.00622782
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	4.51939e-06	0	0	0.000729682	0	0.000716809	0.00137992	5.56824e-05	2.90332e-05	0	0	0	0	0	0	0	0	0	0	0	0	7.05841e-05	0	0	0	0	0	0	0	0	0.000245394	0	0	5.71409e-06	0	1.52834e-05	0	0	0	0	0	0	5.82647e-05	0	0.000699049	0	0	0	0.00064119	0	0	3.48048e-05	0	0	0.000800236	0	0	0	0	7.52064e-05	0	0	7.8499e-06	0	2.70899e-06	0	0	2.8266e-06	7.14916e-05	0	0	8.71168e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	7.30244e-05	0	0	0	0	0	0	0	3.48803e-05	0	0	0	8.27072e-05	0	0	0	0	0	0	2.5461e-05	0	0	0	0	6.56446e-06	0	0	0	0	1.03471e-05	0	1.65426e-05	6.55698e-05	0	0	1.14883e-05	2.45432e-05	0.000727806	0	0	7.30312e-06	5.63967e-05	0	0	0	0	0	1.84525e-05	0.000104643	0	0	6.66862e-05	0	0.000199527	0	1.589e-05	3.79479e-05	0.000114938	0	0	0.000213116	0	0	3.97785e-05	0	0	0	0	0	0	8.65653e-06	0.000424609	3.65707e-05	6.87556e-05	0	0	0	0	0	0	0	0	4.07846e-05	0	0.000282847	0	0	0	0	0	0	0	0	2.86295e-05	0	0	0.000395772	0	0.000218744	1.03246e-05	0	0	2.82482e-05	0	3.9045e-05	0	0	7.2536e-06	0	0	0.000232619	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	4.65428e-05	0	0	2.52048e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.98288e-05	0	0	1.70877e-05	0	0	3.28466e-05	0	0	0.000525421	0.000188182	0	0	0	0	0	0	3.84087e-05	0	6.70078e-05	1.06038e-05	1.69268e-05	0	0.000363762	0	0	3.97259e-05	0.00133106	0	0	0	0	0	0	0	0	0	0	0	0	0.00019323	0	3.29673e-05	0	0	0	0	7.43706e-06	0	0	0.000767161	0	0	0	0	0	0	0	0	0	0.00032133	0	0	7.48382e-05	0	0	0	7.64512e-06	0	0	7.02995e-05	4.60892e-05	3.20457e-05	0	0	0	0.000286135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000112502	0	0	5.12701e-05	0.000103989	0	0	0	0	4.59668e-05	0	0	3.11676e-05	0	0	1.49213e-05	0	0	0	0	0	0	0	0.000187961	0.000348577	0.000229085	0	2.09254e-05	0	0	1.73008e-05	0.000113707	0.000353651	0	0	0	0	0	0	0	0	0	0	0.000794681	0	3.33794e-06	0	0	0	0	0	0	8.44409e-05	0	0	0	0	0	0	0	2.97721e-05	0	0	0	0	0	2.46491e-05	1.99494e-05	0	0	0.000243806	1.73535e-05	0	0	0	0	0.000369074	0	3.59404e-05	1.13449e-05	0	0	0.000387855	3.91678e-05
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000131926	2.87246e-05	9.74454e-05	0	9.95053e-05	0	1.7745e-06	0	0.000128881	4.47288e-05	0.00010644	0.000223014	0.000112391	0	0.000166503	0.000252455	4.72864e-05	6.33759e-05	9.89967e-05	7.82888e-05	3.45343e-05	0.00020051	0	8.75404e-06	0.00020915	8.18589e-06	0	0.000399723	2.7499e-05	0.000213148	0.000500283	0.000252473	3.72851e-05	6.03784e-05	0.00041352	0.000594738	4.03001e-05	0	0.00011055	7.86175e-05	0.000172428	5.74559e-05	0	0	0.000154359	0.000108168	3.78114e-05	3.9831e-05	0	0.000349982	4.32926e-05	9.17267e-05	0	0	0.000449882	2.36873e-05	9.59791e-05	0.000125856	0.000111108	0.000105722	0.000106265	0.000166055	6.89988e-05	0	0	0.000169202	0.000174187	6.2772e-05	0.000157761	0	8.02214e-05	0	0	0.000145717	0.000105274	0.000294471	2.71052e-05	8.14682e-05	3.02308e-05	0	5.91498e-05	2.66395e-05	9.21406e-05	5.99365e-05	0.000106557	0.000127052	0	0.000107733	6.54313e-05	0.000526769	0.00010684	0.000224883	0.000105181	2.51708e-05	0	6.61919e-05	0.000297807	0	8.46633e-05	0.00015916	0	8.44536e-05	5.92356e-05	0.000221374	0.000275137	0.000161425	0.000101478	7.30292e-05	0	9.97387e-05	0	0.000232511	8.76131e-05	0.000213327	0.00023917	0.000168053	0.000447586	0.000208146	0.000122186	0	5.4169e-05	0.000154341	0.000202291	6.12139e-05	0	0.000160344	9.61896e-05	0.000128055	5.6881e-05	0.000274486	0.000117152	4.71642e-06	0.000325896	0.000100448	0.000147449	7.36016e-05	0.000138559	0.000234058	0.000106604	2.19502e-05	7.37741e-05	9.50741e-05	3.7649e-05	4.99728e-05	0.000175131	1.44793e-05	2.65722e-05	0	5.73881e-05	0	0	0	0.000136563	0.000165179	5.49116e-05	2.69325e-05	0	8.01062e-06	7.63586e-05	0.000161004	0	8.84679e-05	3.60983e-05	0.000125899	0.000170396	2.31629e-05	7.61526e-05	0.000147156	0.000126148	1.98224e-05	4.15596e-05	0.000165119	6.67268e-05	7.39197e-05	0.00018767	2.21852e-05	0.000180285	5.44688e-05	9.46479e-05	7.48102e-05	1.75351e-05	0.000303595	0	0.000253147	0.000107957	4.48239e-05	3.04827e-05	0.00029522	0.000265004	2.81405e-05	0	0.000110342	5.36713e-06	8.02433e-05	1.56752e-05	0	0.000240152
ANAEROFRUCAT-PWY: homolactic fermentation	0.00308356	0.0033099	0.00262856	0.00383337	0.00460372	0.00482321	0.0041295	0.0043787	0.0035207	0.00127657	0.00443446	0.00306707	0.0032973	0.00205136	0.00370915	0.00363576	0.00441224	0.00320587	0.00406015	0.00280614	0.00439037	0.00499215	0.0031745	0.00224597	0.00349273	0.00369116	0.00251253	0.00327861	0.00210788	0.00578482	0.00488212	0.00405869	0.00198151	0.00371649	0.0031065	0.0044573	0.00283315	0.00236945	0.00398965	0.00424114	0.00359987	0.0038267	0.00266355	0.00594916	0.00439958	0.00350396	0.00334049	0.00303221	0.00417438	0.00421507	0.00378074	0.00454831	0.0061954	0.00567258	0.00389911	0.00467024	0.00305058	0.00384162	0.00406171	0.00374765	0.00395208	0.00284672	0.00423921	0.0039026	0.00341005	0.00394203	0.00292435	0.00321154	0.00359147	0.00166339	0.0034781	0.00417502	0.00232696	0.00374168	0.00269773	0.00344168	0.0014636	0.00374685	0.00141237	0.00549085	0.00106439	0.00489294	0.0036614	0.00348427	0.00325657	0.00350583	0	0.00295422	0.00348142	0.00308661	0.00374451	0.00453023	0.00389442	0.00539763	0.00322413	0.00428175	0.00390811	0.00343725	0.00320813	0.002816	0.00486101	0.00352111	0.00371643	0.00358067	0.00335982	0.00304295	0.00610951	0.00200066	0.00158446	0.00413841	0.0029727	0.00506886	0.00354056	0.00452887	0.00366132	0.00463804	0.00441923	0.00366108	0.00550641	0	0.00261641	0.00467888	0.00417943	0.00221279	0.00445397	0.00304444	0.00469274	0.00317409	0.00275751	0.00341927	0.00282655	0.00493847	0.00352279	0.00385313	0.00387767	0.00237694	0.00398666	0.0036037	0.00377965	0.0033815	0.00407496	0.00395752	0.0042991	0.00371498	0.00299078	0.0044465	0.00217177	0	0.0025576	0.00444336	0.00106019	0.00229133	0.00327407	0.00301331	0.004561	0.00353557	0.00429965	0.00484012	0.00652111	0.0053159	0.00373415	0.00484557	0.00472176	0.00450875	0.00463989	0.00366766	0.0032666	0.00360672	0.00395099	0.00424627	0.00611702	0.0053323	0.00360768	0.003071	0.00552599	0.00504392	0.00362496	0.00584515	0.00504407	0.0045997	0.00520197	0.00443292	0.00381086	0.00398554	0.00426629	0.00513925	0.00539907	0.00372344	0.00330429	0.00458859	0	0.00355924	0.00602641	0.0024342	0.00253915	0.00371938	0.00300281
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0109914	0.0116015	0.0110014	0.00549544	0.0111606	0.0062938	0.00527967	0.00750868	0.0093285	0.0136362	0.00957389	0.00877536	0.00909943	0.0121067	0.011827	0.0089204	0.0100742	0.00997051	0.00995988	0.00681789	0.0100503	0.0102044	0.0100853	0.0104886	0.0112962	0.012445	0.0104067	0.0102274	0.0106484	0.00859042	0.00655507	0.00906332	0.00769172	0.0109856	0.00961767	0.00568849	0.00850197	0.0090024	0.00768609	0.00976365	0.0095346	0.0079934	0.00914018	0.012094	0.00579546	0.00859077	0.00995695	0.0100385	0.00536984	0.00852159	0.0133929	0.0112972	0.0116671	0.0107265	0.00625455	0.00747996	0.008362	0.0078654	0.0119253	0.00837677	0.00610001	0.00769995	0.0113323	0.00995419	0.00427445	0.00818343	0.00816686	0.00869949	0.0103591	0.00327959	0.00765421	0.00592612	0.00848772	0.00984033	0.00558394	0.00889499	0.0133697	0.00833296	0.0132178	0.00856332	0.0116215	0.00784414	0.00767256	0.00901608	0.00711909	0.00719602	0	0.0091473	0.00975807	0.00992119	0.00946446	0.00859278	0.0105687	0.00904863	0.0078742	0.00911025	0.00895091	0.00809656	0.010846	0.00932654	0.0102447	0.0104629	0.00756932	0.00869746	0.00863635	0.00729617	0.0100392	0.0120841	0.00733552	0.00951098	0.0104656	0.00749116	0.00997708	0.00921125	0.0101815	0.00706133	0.00851128	0.00846448	0.00919046	0.013391	0.00809111	0.00916256	0.0064465	0.00973578	0.0131652	0.0116791	0.00689943	0.00858539	0.0105958	0.00711542	0.00851125	0.00637034	0.00811203	0.00934742	0.00851821	0.0128664	0.00762667	0.00743817	0.00724843	0.00821568	0.00858422	0.00843594	0.00768121	0.00870599	0.00740983	0.00638615	0.0118082	0	0.0116644	0.012146	0.0143207	0.0103397	0.00913377	0.0105017	0.0105308	0.00998571	0.00556418	0.00733226	0.00850153	0.0106292	0.0115031	0.00999748	0.00778623	0.0101246	0.00615494	0.00886504	0.00838721	0.00962843	0.00978237	0.00585903	0.0106815	0.0102732	0.0124435	0.00931602	0.00777062	0.00862304	0.0114188	0.0105896	0.0109615	0.0103093	0.0107715	0.00660477	0.0118963	0.00768923	0.0085492	0.010158	0.00924322	0.00841107	0.0104752	0.0078352	0	0.00856014	0.00910265	0.00893983	0.0107398	0.00717012	0.00920992
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00217035	0.00107778	0.0014916	0.00377967	0.00149787	0.0033075	0.00386984	0.0027067	0.00171951	0.000656093	0.00102683	0.000912288	0.00033601	0.001023	0.000519992	0.00195827	0.000744586	0.0014511	0.000865243	0.000199788	0.00251177	0.00293807	0.000672072	0.00204815	0.00132213	0.00107203	0.00111961	0.00170893	0.000917741	0.000154854	0.00292076	0.00190068	0.00096364	0.000688155	0.000740504	0.00284832	0.000403589	0.000939698	0.00106851	0.00113557	0.00189918	0.000907932	0.000805864	0	0.00411597	0.000955325	0.00127999	0.00151077	0.00396745	0.00205915	0.000274611	0.00251926	0.000423378	0.000961671	0.00263717	0.00145901	0.00120797	0.0022758	0	0.00104158	0.00277957	0.00151241	0.00124624	0.000637694	0.00368494	8.48177e-05	0.000960561	0.000531391	0.0015899	0.000636263	0.00106024	0.00335119	0	0.00146038	0.00105655	0.000683275	0.000490234	0.00201758	0.000393406	0.0022302	0.000549349	0.00304215	0.00180867	0.000186062	0.00143262	0.00125148	0	0.00127959	0.000988008	0.00061855	0.00178267	0.00170794	0.0011997	0.00110842	0.000896769	0.00104742	0.000530209	0.00144868	0.0010254	0.00175825	0	0.000511008	0.00218634	0.000807315	0.0015943	0	0.00309245	0.000468798	0.00106512	0.00140781	0.00161849	0.00103648	0.000624147	0.00285169	0.00137551	0.0017333	0.00246878	0.0019796	0.000233473	0	9.31685e-05	0.00119781	0.00254476	0.00237597	0.000466261	0.00175662	0.00352332	0.0013811	0.000666086	0.000187512	0.00118331	0.00231132	0.0019913	0.00163853	0.000965507	6.35554e-05	0.0024256	0.00285238	0.0027186	0.000470434	0.000816122	0.00160757	0.00158655	0.000495568	0.00154131	0.00267777	0.000272015	0	0.00097353	0.000240572	0.000290448	0.000811131	0.000818372	0.00121499	0.00159314	0.000565604	0.00326743	0.000801542	0.000910496	0.000678469	0.000590263	0.00112824	0.00146598	0.00170809	0.0040509	0.00116746	0.000591958	0.00190797	0.00117554	0.00351838	0.000358753	0.000790319	0.000958936	0.000606677	0.00328108	0.000462495	0.00184941	0.00158395	0.00161597	0.000908192	0.00051003	0.00353672	0.00223846	0.00306826	0.000737404	0.000768472	0.000399695	0.00346286	0.00162136	0.00250896	0	0.00154998	0.000171096	0.000948564	0.0004084	0.00238552	0.00227394
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0.000876847	0	0.000604447	0.0013157	0	0.00035472	0	0	0	0	0	0	0.000181546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000359754	0	0	1.81405e-05	0	0.000604804	0	0	0	0	1.13341e-05	0	6.86501e-05	0	0.00102356	0	0	2.46028e-05	0	0	0	0	0	0	0.000985823	0.000419208	0	0	0	8.01715e-05	0.000556386	0.000104324	2.65311e-05	0	0.000886306	0	0	0	5.29036e-05	0	5.92768e-05	0.000109843	0	1.91401e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94748e-06	0	0	8.47613e-05	0	3.28989e-05	0	0	0	0	0	0	0	0	0	0	3.19786e-05	0	0	0	0	0	0	0	0	0	7.95966e-05	0.000185095	5.8448e-05	7.91504e-05	0	0	0	2.17163e-05	0.000319818	0	0	0	0.000409031	0	0.000173698	0	0	0.000520723	3.55288e-05	2.54278e-05	0	0	9.70109e-05	0.000171258	0.00020147	0	0	0.000121931	0.000305787	0	0	0.000325265	0	0	1.5571e-05	0	0	0	0	0	0	1.39578e-05	0.000945766	0	4.86108e-05	0	0	0	0.000344062	0	0.00121168	0	0	3.54277e-05	0	0.000610971	0	0	0	0	0	0	0	1.40306e-05	2.64e-05	1.66861e-05	0	0.00047991	0	0.000151839	0	1.83732e-05	0	0.000253552	2.8942e-05	6.53507e-05	0	0	0	0	0	0	3.7085e-05
