# features	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_016	SH_017	SH_021	SH_022	SH_023	SH_024	SH_028	SH_029	SH_031	SH_032	SH_033	SH_034	SH_038	SH_039	SH_042	SH_043	SH_044	SH_045	SH_047	SH_050	SH_051	SH_053	SH_054	SH_055	SH_057	SH_058	SH_059	SH_060	SH_061	SH_063	SH_064	SH_065	SH_066	SH_068	SH_071	SH_072	SH_073	SH_077	SH_078	SH_079	SH_082	SH_083	SH_084	SH_085	SH_086	SH_087	SH_089	SH_091	SH_093	SH_094	SH_095	SH_096	SH_099	SH_100	SH_102	SH_103	SH_104	SH_105	SH_106	SH_107	SH_108	SH_109	SH_110	SH_111	SH_112	SH_113	SH_114	SH_117	SH_118	SH_119	SH_123	SH_124	SH_125	SH_127	SH_129	SH_133	SH_134	SH_137	SH_138	SH_141	SH_142	SH_143	SH_144	SH_146	SH_148	SH_149	SH_150	SH_151	SH_152	SH_153	SH_154	SH_160	SH_162	SH_164	SH_166	SH_179	SH_189	SH_191	SH_193	SH_194	SH_195	SH_198	SH_199	SH_200	SH_205	SH_214	SH_227	SH_228	SH_231	SH_234	SH_235	SH_237	SH_238	SH_239	SH_240	SH_241	SH_242	SH_243	SH_245	SH_247	SH_250	SH_252	SH_253	SH_500	SH_501	SH_502	SH_503
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79076957445943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91396010178463	0	0	0	0	0	0	0	0	0	0	0	0	0	0.668859014246697	0	0	0	0	2.10297014464229	0	0	0	0	0	0	0	0	0	0	1.51933967837098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68488981510019	0	0	0	0	0	0	0	0	0
PWY66-388: ceramide degradation by &alpha;-oxidation	0	0.389445090277266	0	0.011188101708199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403758001530243	0	0.877180927606258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867424219666509	3.14316909549023	0.035729019208993	0.006975079295657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48424496370584	0	0.052916199844956	0	0	0	0	0	0	0	0	0.266704979925116	0.422294994869116	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75682990193375	0.303883987252067	0.695992097557212	0	0.065184614948136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167702065311569	0	0	0	0	0	0.00666992069668	0	0.859845040137567	0	0	0	0	0	0.253244048108772	0	0	0	1.41939007309859	0	0	0
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0	0	0	0	0.945086151459507	0	1.6044798863226	0	0	0	0	0	0	0	0	0	0	0	0.780835935034451	1.87350023814062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0057204272331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22795400321871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512455904027258	0	0	0	0	0	0	0	0	0.466646107011285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591773924016228	0	0	0	0	0	2.48921025964952
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0	0	0	0	0	0	0	7.71042913249962	0	0	2.15059032043796	2.66897012997885	0	0	0	0.560140007085771	0	0	0	0	0	2.00299000759133	0	0	0	0	0	0	0	0.196017963756278	0	28.8003018181631	0	0	0	5.33580003852448	4.06763976586665	1.90387054165117	0	0	0	0	0	0	0	0	0.086125821810503	0	0	0.068358993097109	0	0.034489891804167	0	0.720841088822039	5.06338035696831	0	0	0	1.10419001656285	0	0.102901019724067	0.953809748232379	0	0	0	0	0	0	0	0	0	0	0.051288094357797	0	0	0	0	17.4438956273387	0	0.08659339894789	0.252511058489136	0	0	0	0.244548951772501	0.122477034327863	0	0	0	0.593769055564908	0	0	0	0	0	0	1.8038103005148	0	0	0	0	0.151180999095938	0	0.131524972157479	0.208459994402849	0	0	0.154395054861195	0	0	0	0	0.422469164530616	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041217907830166	0	0.528205001980769	0	0	0	0	0
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0.828043126425624	0	0.0699593960375	0	0	0	1.51707991367815	0	0	3.91540175312113	0	1.61597002407795	2.18114002759142	0	0	0	0	0.834305807483935	2.44366000926147	1.13118999355222	0	0	3.46481061399909	2.45120971303688	0	0	0	0	0	0	0	0	0	1.4884799143231	2.37964067700777	0	0	0	0	0	1.29763018444515	0	0.822838023574309	2.61345066183025	0	0	0.108700989023374	0	0	2.17769019590501	0.46241705697903	0	0	0	2.86107980656239	0.673305010099575	0	0	0	3.17621065048794	2.25203982636773	0	0	0	0	1.52960002159795	0	0	0	1.6424998193086	0	0.188362956621895	0	4.34596000330293	0	0.374894971781655	0.112254998636102	0	0	0.384358979690472	0	0	0.283652079502005	1.06009019773862	2.88626006147734	2.85103946605733	0	0	0	1.32871009138868	0.832604953523991	8.8465196288885	0	1.54808025791017	1.18207027107235	0	4.19764881819395	2.547119675013	0	0	0	0	0	0	0.339208120530822	1.51259996265391	3.99565999204864	1.64087079908767	0	0	0	0.60633189086026	0	1.07914981168836	1.36144971775786	0.312575032648775	0.86426727986703	3.66775017121058	1.86899020996236	0	1.49990025657294	6.11882932851967	0	0	2.67811965612944	0.488271001831016	0.467255980043497	0.987195050840545	0	0	0
PWY-6143: CMP-pseudaminate biosynthesis	0	0	0	0	0.351789056377714	0	0	0	0	0	0	0.672536032752505	0	0	0	0	0	0	0.19076298412852	0.748680095164727	0.730925831338864	1.55899000590857	0	0	0	1.37732024407492	0.253342970341138	5.09146033354157	0	0	0	1.17104007392776	5.11421999191953	0	0	0	0	0	0	0	0	0	5.00500967767738	0	0	3.07660008814459	0	0	0.207564111592693	0	0	4.24421899144624	1.56308014061469	0	7.35204051831886	0	0	0.575627961081794	0	0	0	1.28160966170631	0	0	12.4283040938834	0	0	0	0.189914002681586	0	0	0.704149983325728	0	0.851596029746249	6.24913856088588	0	0.974508000740626	22.7107943070852	6.74417949236561	0	0	0	1.09959994189714	0	0	0.505091141566945	2.90730054229877	0.689751014691697	0	0	0	0	1.0388600714528	0	0	0.607819085198001	0	0.173243039728094	0	0.091356374279526	0.47136193985893	0	0	0	0	0	0	0	0	2.65698999471259	0.733557357235097	0	0.871378339358294	0.80667098700453	0	0	0	0.567656882319052	0	0	0.190881008910325	0	11.4298004631355	1.78858030595455	0	0	0.719253136636518	0.702314909822765	0.247420000927825	0	0	0	0	0.140906014697906
PWY-5005: biotin biosynthesis II	0.643142081936301	19.2854044705496	0	2.12745032481912	1.36867021934309	10.4073994105249	1.92990986326589	1.78321979936994	4.52379920833514	0.934438946830424	0.8587691279566	9.58919046699358	1.86924083695258	0.49502708479814	14.4921002159323	3.15113003986179	0	0.611508033853085	2.85300976262959	0	1.00482976813553	0.683881002591909	12.2781999300143	3.85911968150685	2.03383014348672	0.93412516553632	6.48301924103294	1.69501011104011	0.020602600191151	3.95985926782202	4.94903876506636	1.99588012599991	1.57512999751129	0	2.37918995636566	0	1.71883990106358	0	2.77724994973178	4.52621944644336	2.16022976654397	2.42257910509928	0.647802958281489	1.34912019176394	19.6418986073894	2.14427006143334	0	6.58425810524805	6.9407237315413	3.31198966555528	5.8234698846953	14.0573966595408	2.28833020585819	0.234933028948448	3.17135022358019	1.27180967506535	0.398242036040904	3.24609978053119	5.9963400899451	1.86285030513488	3.01206057735177	2.34097938207508	3.01598061767283	0.764771941036083	2.11065069524834	3.58263049440301	0	0.936193929832265	2.90509004101987	1.07559999684849	14.2932008918957	3.91844990721111	7.33255919334517	1.91811006699958	2.23187948602047	4.9477601018249	3.01491000229133	1.91482952000968	2.35128982301841	0.52458599362628	1.1489802661383	5.59414800596594	4.52705976079016	1.15935003767888	0.486208904114742	0.357788100280849	5.89823110019705	0.292226006224414	7.1450886618678	8.13603076136976	5.80852898751531	0	0	2.39900986608727	1.48817993757085	0.764476107156616	1.53088025504465	3.10504071204794	0	8.69363755239328	4.33828944647765	1.38990999168834	1.48482039796156	1.48655968531018	1.9125399486483	0.238148098402794	4.75882950508173	1.97458070162776	2.02453995001411	4.52510999099503	13.7525066973332	10.8713007414227	6.69719260822166	2.79816995492148	10.1136981795343	7.1407791541033	3.23973943466547	0.891890815102115	4.90161051197812	7.09880229873416	3.07150014337763	7.57228085067003	4.49489018213295	11.4690019618875	6.44139929312084	2.21875035608724	5.28378100375988	5.57661928396208	2.76853001038199	18.4413992123678	3.82112019678769	2.57991988178807	0	2.01504021018884
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0	10.1298023481895	0	0	0.361790057980475	0.155524991191064	4.82587965808643	0	0	0.302875982766357	1.10346016441556	2.18471010639538	1.47900066222255	0	0	0	0	0	0	0.629037079956903	0	2.63062000997005	0	1.11460990801124	0	3.15125055843311	0	0	0	1.46508972910491	0	0	0.853320998651753	2.2178902182404	0	0	0	0	0	4.12992949490962	4.77550948391069	0	0	3.81787054267212	4.66337966936638	0	0.351035088896126	1.59304954156813	0.348339187277597	0.085237791392688	2.37191995303599	0	1.28468011556982	0	1.53970010854886	0	5.42763049120056	0.515491965147588	0.756625011349375	9.77762160157442	0	0.340489910124283	0	1.90269985330184	0	0.507978070100974	0	0	0.108549001532712	0	2.07860012970465	0	1.6821498149467	0.48093701679913	0	1.23933002550541	0.99281600075454	6.07637847683421	0	1.54952998117321	0	0	0	0	3.06137939626537	1.0843403039189	0.41627507764779	1.29475002757818	5.77496891846382	0	0	0	0	0.371009979290223	0	0.955649133953339	0.38641206437625	0.478145109648237	0	0.19878294403465	0.815053896007273	0	0	0	1.02358997251661	0	4.18941956430037	0.551337195906646	0	1.0842699978423	1.82911089075871	0	0.279576108880916	0	3.87589930233813	0.192489977197637	0	0	0	0	0.39994901866962	0.388200043610393	0	0	0.702023922959895	0	0.630118119703539	0.263925966111906	1.16699000437621	7.39654968409336	0.384011019776568	0.106514995119483	0	0
PWY-7992: superpathway of menaquinol-8 biosynthesis III	0	20.2462046932727	0	0	0.952421152635014	0.407635976911498	11.161199209229	0	0	0.798234954580431	2.8539604252401	5.06542024668597	3.74402167638571	0	0	0	0	0	0	1.63725020811087	0	6.32485002397118	0	2.84511976519227	0	7.64529135482208	0	0	0	3.03551943873245	0	0	2.1956299965309	5.63575055455786	0	0	0	0	0	9.99822877721662	11.1851987912156	0	0	9.14430129977099	9.76677930753535	0	0.914937231698705	3.90272887691171	0.916668492828482	0.226325977145603	5.71095988692299	0	3.19639028754727	0	3.87607027326295	0	12.6996011493139	1.30303991190147	1.94389002915835	15.838302594314	0	0.896519763354643	0	4.74513963414973	0	1.31742018180399	0	0	0.286908004051141	0	4.72178029463909	0	3.83681957791148	1.26030004402228	0	3.17084006525589	2.58147000196192	14.2754964215613	0	3.91328995245353	0	0	0	0	6.77586866373094	2.73376076621847	1.09061020343152	3.24929006920988	12.1600977226569	0	0	0	0	0.977985945408824	0	2.47724034723478	1.02043017000367	1.25464028771411	0	0.527188851575251	2.00347974437602	0	0	0	2.256759939406	0	6.28504934635487	1.43555051009416	0	2.71355999460002	4.2452520673953	0	0.731130284738689	0	7.62594862732925	0.509520939642149	0	0	0	0	1.04275004867557	0.997045112008048	0	0	1.8183898004499	0	1.61134030610632	0.695326910720025	2.91967001094876	16.547999293235	0.999337051465858	0.277544987282889	0	0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	0.407313062188558	0	0	0	0	0	0	0	0	0	0	0.428445006383831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0499989663801	1.23227017515488	9.71489931121364	0.610149017480769	4.39336111257477	0	0	0	1.02274997974955	0	0	0	0.983973069370101	0	0	0.807578945399588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212178976658191	0	1.09791974716006	0	0	0	0	0.628677992361562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88485057985497	0	0	0	0	0	0	0	0	0.357783127131079	0	0	0	0	0	0	0.482851913086656	0	0	1.57582967331475	0	0	0	0	1.72376006984676	0	1.23137986486837	0	0	0	2.12399000796496	0.989072957756694	0	0	0	0
