# features 	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_017	SH_021	SH_022	SH_023	SH_024	SH_029	SH_034	SH_038	SH_039	SH_042	SH_045	SH_051	SH_053	SH_055	SH_058	SH_068	SH_072	SH_078	SH_079	SH_083	SH_084	SH_089	SH_093	SH_094	SH_111	SH_117	SH_123	SH_133	SH_144	SH_146	SH_166	SH_205	SH_247	SH_500	SH_501	SH_502
1.1.1.1 Alcohol dehydrogenase	16.5971004260974	6.76644025966215	3.46855010488895	3.3555797083565	6.38812968561778	10.6623993958311	7.57964957381904	3.78645908110211	21.8781025005577	5.22400031088548	5.17313000707167	3.74174028334328	8.80202064829787	15.4282985320128	8.9406308262484	8.51861015582242	9.34130974501961	11.094000309334	4.52627000465301	28.8865973773743	4.51693975089077	6.38870039423584	8.99923971489509	10.577800682522	4.48805965527887	5.94908049093002	10.6849009804038	2.98884947548501	21.0187009906954	6.68277989265451	12.4952011041509	12.0520006178338	6.8349502408158	1.54223002088025	8.44402009828839	6.89514959028332	4.01610023697401	7.76972036745339	8.31243917997788	9.46905922591388	11.985801089809	4.69741071045519	5.48637999341086
1.1.1.100 3-oxoacyl-[acyl-carrier-protein] reductase	25.6473006584431	12.4023004759383	18.4715005585782	21.961398091269	25.2526987572263	22.306898736013	19.3783989104108	12.5544969532747	23.2888026617937	21.4642012773561	12.7449000174223	13.4670010197887	18.6192013713656	26.6052974685326	21.498901986821	20.5085003751415	24.2163993389892	33.4323009321928	21.6903000222976	33.2779969786773	13.9138992326485	20.7044012776334	16.3994994804475	23.2908015028157	22.3448982837219	9.81305080979258	19.62520180073	21.9078961553702	23.4694011062067	19.8874996805471	27.5157024314526	22.9102011744685	15.3142005395652	25.5481003458957	25.006700291078	21.8334987026317	23.2916013743442	22.8949010827686	19.1356981122634	22.7083981436112	14.9363013580832	17.4678026419003	24.7494999702759
1.1.1.103 L-threonine 3-dehydrogenase	15.502200397988	10.9265004193045	0.72379002188741	4.83239958000166	6.02672970340354	2.97585983137737	5.28947970258843	0	15.7454017996207	4.42617026340582	1.75123000239393	2.20345016685626	1.44987010678772	9.27141911783374	9.93031091770968	1.49436002733483	6.79212981460203	13.1234003659198	4.73870000487138	29.8784972873193	2.0493798869767	3.20500019777511	9.3471197038739	10.6637006880646	3.02754976745844	6.51560053768039	4.93630045293518	2.91107948913291	0.959001045201555	4.02213993539237	11.5480010204507	2.16982011123366	7.39321026048498	10.3581001402383	1.99202002318711	1.30027992273607	6.41641037860671	9.16881043362055	2.12646979022375	3.40331972178202	1.76628016059902	0.270004040836491	9.93023998807378
1.1.1.107 Pyridoxal 4-dehydrogenase	0	0	0	0	0	0	0	0	0.399036045607825	0	0	0	0	0.030083897137547	0	0	0.027209099257301	0.98562602748221	0.038687600039771	3.0522797228823	0	0.053844003322622	0	0	0	0.149291012319793	0	0	0.009698170457114	0.0397870993609	0.217321019203789	0	0.081683602877958	0	0	0.052747996865661	0	0	0.17442098279337	0.01177249903761	0	0	0.501510999397685
1.1.1.121 Aldose 1-dehydrogenase (NAD(+))	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.122 D-threo-aldose 1-dehydrogenase	1.66353004270781	2.10712008086073	0	3.21328972072335	3.81296981235041	0.326194981516651	2.58637985457562	0.082584979958277	0.607830069471938	3.65957021778468	0.919384001256798	4.37940033163009	0.45605003358959	1.61996984586149	2.32246021463016	1.03808001898856	1.918009947646	3.99958011152029	7.68733000790258	2.22700979780889	1.04291994248297	1.40709008682914	2.93439990703528	1.26647008171772	1.53321988223568	0.219788018137347	3.81922035043638	1.04451981669659	0.038284301804492	4.15833993320459	1.85159016361762	1.03428005302133	2.69427009492722	5.18825007024372	1.39801001627284	1.15499993136875	5.71639033730133	3.16810014982896	3.2005696842638	1.19059990266965	0.736916067004093	0.157346023797642	4.08512999509376
1.1.1.127 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	7.99760020532239	1.1076300425053	0	0.360054968706542	0.117166994233802	1.27437992778917	0.391473977988593	0.285056930822384	9.60005109723784	0.470271027986299	0.075970700103852	0.398249030157408	0.223884016489797	3.57629965971866	3.40234031442728	0.156567002863924	3.35088990853411	3.84278010714824	0.835805000859208	11.6886989387783	0.138247992375623	0.491695030341664	2.07168993436679	2.9122201879081	0.440489966166626	0.567494046830744	0.917175084156317	0.045534192009177	0.67012603158572	0.489236992141386	3.41569030183089	0.355691018234144	3.34175011773988	0.099334801344894	1.03133001200468	0.477280971639487	0.341867020172205	5.65871026761738	0.078333992272352	1.41762988411017	0.068149006196448	0.156022023597395	3.62248999564939
1.1.1.130 3-dehydro-L-gulonate 2-dehydrogenase	2.23173005729521	0.612236023494557	0	0.194460983098813	0.043339997867087	0.795148954944077	0.087788395063922	0	3.43069039211076	0	0	0.173558013142681	0.014410901061411	1.61374984645332	1.71235015824684	0.061667201128017	0.912519975091855	2.30815006435815	0.258912000266162	13.1874988027017	0.082783595434485	0.349158021545948	0.833411973596675	2.39365015444788	0.453819965142769	0.57299204728445	0.298588027397243	0	0.057461302708381	0.281138995484064	1.18347010457852	0	1.48813005243129	0	0.376211004379096	0.1253529925514	0.134318007925568	1.55035007332071	0	0.718314941278472	0	0.046577307044538	0.836442998995432
1.1.1.131 Mannuronate reductase	1.59669004099182	3.34370012831449	2.58683007822574	4.74830958731017	5.5118697287416	0.787453955380103	6.82213961641156	0.851215793426951	0.910468104061952	6.49030038624427	3.10394000424309	8.44395063941816	8.35934061569302	3.59513965792606	3.24826030018798	2.29364004195526	4.50444987704654	4.27143011910029	8.29573000852801	0	2.05193988683551	5.78769035714853	4.66211985229938	4.71024030392355	2.86348978005964	1.59637013173566	3.36123030841305	5.64958900855024	2.84660013417165	4.86688992182315	4.60514040693784	5.91744030335166	3.96770013979398	4.66986006322524	4.90748005712307	8.6861294838615	6.61467039030524	3.78694017909576	8.06609920427931	5.40835955787202	3.82684034795546	3.57708054101197	5.26765999367354
1.1.1.132 GDP-mannose 6-dehydrogenase	1.28378003295849	0	0.513252015520741	0.116958989834743	1.00751995041642	0.098780094402774	0.072532295921727	0	1.87908021476947	0.613796036527616	0.216348000295748	0.077002305831	0.216451015942332	0.68776193456014	0.864978079936949	0	0.344299990601987	0.583820016278653	1.38493000142371	1.52343986168629	0.191854989419197	0.090734805599091	0.208826993384152	1.30591008426254	0.059950695395277	0.229614018948208	0.293367026918185	0.011309398015307	0.012823800604437	0.107274998276842	2.41118021306635	0	0.233897008240893	0.841923011398796	0.108609001264209	0	0.748288044153484	0.668661031622986	0.068988393194295	0.134274989023154	0	0.024566603715552	0.432976999479995
