# features	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_017	SH_021	SH_022	SH_023	SH_024	SH_029	SH_034	SH_038	SH_039	SH_042	SH_045	SH_051	SH_053	SH_055	SH_058	SH_068	SH_072	SH_078	SH_079	SH_083	SH_084	SH_089	SH_093	SH_094	SH_111	SH_117	SH_123	SH_133	SH_144	SH_146	SH_166	SH_205	SH_247	SH_500	SH_501	SH_502
PWY-6113: superpathway of mycolate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY66-388: ceramide degradation by &alpha;-oxidation	0	0.389445090277266	0	0.011188101708199	0	0	0	0	0	0	0	0	0	0	0	0	0.403758001530243	0	0	0	0	0	0	0	0	0.867424219666509	0.035729019208993	0.006975079295657	0	0	0	0	0	0	0	0	0	0	0	0.253244048108772	1.41939007309859	0	0
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0	0	0	0	0.945086151459507	0	1.6044798863226	0	0	0	0	0	0	0.780835935034451	1.87350023814062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	0	0	0	0	0	0	0	0	0	2.15059032043796	2.66897012997885	0	0	0	0	0	2.00299000759133	0	0	0	0	0	0	0	0	0.086125821810503	0	0.068358993097109	0.720841088822039	0	0	0	0	17.4438956273387	0	0.593769055564908	0	0.151180999095938	0	0.041217907830166	0	0	0
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0.828043126425624	0	0.0699593960375	0	0	1.51707991367815	0	0	3.91540175312113	1.61597002407795	0	0	0.834305807483935	2.44366000926147	0	0	0	0	0	0	0	0.822838023574309	2.61345066183025	0	0.108700989023374	0.46241705697903	0	0	0	0.188362956621895	0	0.384358979690472	0	0	0	0	0	0.987195050840545	0	0
PWY-6143: CMP-pseudaminate biosynthesis	0	0	0	0	0.351789056377714	0	0	0	0	0	0.672536032752505	0	0	0.19076298412852	0.748680095164727	0.730925831338864	1.55899000590857	0	5.09146033354157	0	0	5.11421999191953	0	5.00500967767738	3.07660008814459	0	0.207564111592693	0	0	0	0	0	6.24913856088588	22.7107943070852	1.09959994189714	0	0	0	0	0.719253136636518	0	0	0
PWY-5005: biotin biosynthesis II	0.643142081936301	19.2854044705496	0	2.12745032481912	1.36867021934309	10.4073994105249	1.92990986326589	4.52379920833514	0.934438946830424	0.8587691279566	9.58919046699358	1.86924083695258	14.4921002159323	2.85300976262959	0	1.00482976813553	0.683881002591909	2.03383014348672	1.69501011104011	0.020602600191151	4.94903876506636	1.57512999751129	2.16022976654397	0.647802958281489	2.14427006143334	0	6.9407237315413	3.31198966555528	0.234933028948448	1.27180967506535	0.398242036040904	14.2932008918957	2.23187948602047	1.91482952000968	4.52705976079016	8.13603076136976	5.80852898751531	1.38990999168834	10.8713007414227	5.28378100375988	3.82112019678769	2.57991988178807	0
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0	10.1298023481895	0	0	0.361790057980475	0.155524991191064	4.82587965808643	0	0.302875982766357	1.10346016441556	2.18471010639538	1.47900066222255	0	0	0.629037079956903	0	2.63062000997005	0	0	0	0	0.853320998651753	4.77550948391069	0	0	0.351035088896126	0.348339187277597	0.085237791392688	0	0	5.42763049120056	2.07860012970465	0	6.07637847683421	0	0	0	0	0	0.630118119703539	0.384011019776568	0.106514995119483	0
PWY-7992: superpathway of menaquinol-8 biosynthesis III	0	20.2462046932727	0	0	0.952421152635014	0.407635976911498	11.161199209229	0	0.798234954580431	2.8539604252401	5.06542024668597	3.74402167638571	0	0	1.63725020811087	0	6.32485002397118	0	0	0	0	2.1956299965309	11.1851987912156	0	0	0.914937231698705	0.916668492828482	0.226325977145603	0	0	12.6996011493139	4.72178029463909	0	14.2754964215613	0	0	0	0	0	1.61134030610632	0.999337051465858	0.277544987282889	0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	0.407313062188558	0	0	0	0	0	0	0	0	0.428445006383831	0	0	0	0	0	0	0	0	0	0	16.0499989663801	0.610149017480769	4.39336111257477	0	0	0	0	0	0	1.09791974716006	0	0	0	0	0	0	0	0	0	0
