level3	SH_119	SH_154	SH_162	SH_106	SH_118	SH_194	SH_114	SH_160	SH_065	SH_179	SH_069	SH_093	SH_237	SH_045	SH_248	SH_064	SH_089	SH_136	SH_142	SH_250	SH_091	SH_123	SH_124	SH_227	SH_107	SH_200	SH_111	SH_212	SH_053	SH_063	SH_112	SH_133	SH_060	SH_146	SH_236	SH_144	SH_113	SH_143	SH_242	SH_094	SH_253	SH_061	SH_166	SH_230	SH_057	SH_137	SH_191	SH_099	SH_214	SH_243	A_302	A_311	A_312	A002_2XSw_0_h_C	A005_2XSw_0_h_CD	A006_2XSw_0_h_C	A007_0_h_CD_1	A011_0_h_CD_1	A020_2XSw_0_h_CD	SH_013	SH_016	SH_059	SH_150	SH_043	SH_072	SH_238	SH_012	SH_117	SH_073	SH_085	SH_125	SH_024	SH_017	SH_054	SH_082	S5_363_0h	SH_044	SH_086	SH_240	SH_234	SH_151	SH_134	SH_127	SH_077	SH_034	SH_015	SH_103	SH_087	SH_066	SH_096	SH_029	SH_002	SH_198	SH_138	SH_022	SH_079	SH_038	A001_0_h_CD_1	SH_108	SH_031	SH_231	SH_247	SH_033	C2_A304_stool	SH_028	SH_055	SH_051	SH_193	SH_195	SH_014	SH_095	SH_058	SH_071	SH_047	SH_084	SH_050	SH_129	SH_189	SH_007	SH_105	SH_068	SH_104	SH_149	SH_148	SH_110	SH_039	SH_153	SH_021	SH_245
00051 Fructose and mannose metabolism [PATH:ko00051]	0.00716989008	0.00708326613	0.00677555527	0.0047088402	0.00641360937	0.00347053298	0.00713371838	0.00734364954	0.00540370465	0.00702091031	0.006191060837	0.00522557587	0.00666235896	0.00662412695	0.00731252778	0.0070245432	0.00299549156	0.00578707846	0.0074483075	0.00761096978	0.0071319696	0.00783642373	0.006613283941	0.00632548872	0.0047010938	0.00861623974	0.0079616789	0.00556766995	0.009671865561	0.00693573657	0.00640270632	0.00381991746	0.00510046973	0.00637546184	0.00428809205	0.00409758168	0.0033426198	0.00557291203	0.00620306634	0.00610597769	0.005934693936	0.0083952051	0.00629570522	0.00604957403	0.00810811669	0.0049329166	0.00478932602	0.00579893078	0.00428643805	0.005932058153	0.00431018195	0.0040708786	0.0075788554	0.0017540243	0.00805969247	0.004431076726	0.00658164444	0.009496676823	0.00595967298	0.006172734464	0.00637549729	0.0072543947	0.00673240148	0.0050899373	0.00628723072	0.00653251859	0.006674495818	0.00661926542	0.005737046781	0.006350403812	0.00847745208	0.0066338706	0.0053545814	0.0057450633	0.0087073601	0.00631210384	0.00651523758	0.00515083807	0.00668397735	0.00758850631	0.00741716806	0.0069765211	0.00584142104	0.0062801547	0.0067308853	0.006106487877	0.00538796272	0.00572246561	0.0062456418	0.0062075451	0.00472352106	0.00640654312	0.00641279913	0.003619428223	0.00658298338	0.0058871964	0.00671374255	0.005275251354	0.00559551333	0.00697357281	0.0071420176	0.0069646045	0.0049455749	0.00734986322	0.0060493462	0.00643816232	0.00729960036	0.0021202979	0.007698618439	0.00401606203	0.00826241224	0.0071323379	0.00561656976	0.00680009738	0.00471921855	0.005621625389	0.00351590977	0.00551326131	0.006247755787	0.00712130335	0.00702145841	0.003542548	0.00716262145	0.0047792445	0.00664835258	0.0066580189	0.00697741517	0.00826536864	0.007020571322
00053 Ascorbate and aldarate metabolism [PATH:ko00053]	0.00010624335	0.00020356115	0.000200077371	0.00040838171	0.00059057536	0.0001395832	0.00013321184	0.0002426568	0.00037487984	0.0010202769	0.00042740742	0.00085789171	4.917359e-05	0.00084719093	0.00030610319	0.0001518063	4.4865035e-05	5.9185978e-05	0.00059086196	0.000316676037	0.000537433	0.00139647423	0.0004349216	0.00028487611	1.87708e-05	0.000366591916	0.00051236235	0.0004355667	0.0020260327	0.00034285176	0.00047785584	0.00029509408	0.00052486142	0.000810085874	0.00028351104	0.00019448866	0.00030192172	0.000376019	0.00056163747	0.0010866914	0.000261361771	0.00101073735	0.00076211727	0.00025861426	0.00055836378	0.0002278416	8.098778e-05	0.00022724479	0.00016980083	0.00044148444	0.00033787185	0.0001379796	0.0008738248	0.0002356357	0.0019521941	0.00017371826	0.00137696579	0.00258007104	0.001911832	0.000636119357	0.00033497945	0.0002585382	0.0004943214	0.0001777049	0.000716082	8.921694e-05	0.00036124814	0.0003955062	0.00047758453	0.00033089537	0.001309529	0.00024560642	0.000102937	0.0002376399	0.00031506462	0.00047344442	0.00046888058	0.00066562987	6.783035e-05	0.0002348798	0.0005537361	0.00117966262	0.0002372187	0.0007423031	0.0010506535	0.00034798012	0.0008036499	0.00012626638	0.0005650355	0.000233782	0.00013756352	0.001176727685	0.00015259835	3.639737e-05	0.00039713154	0.00017028858	0.00040605371	0.0009180196	0.00018485206	0.00012773295	0.000464885	0.0005554698	2.2017e-05	0.00056057041	0.00044317	0.00061538779	0.001077796336	4.16115e-05	0.00019110796	0.00051852369	8.46474e-05	0.00048911672	5.12907e-05	0.00014824373	0.000134564711	0.0002235351	0.0001559751	0.000681310706	0.00018083904	0.0002262202	0.00042801	0.0003209543	0.0005380055	0.0002284939	0.00025555124	0.00020466468	0.00047907421	0.0013462567	0.000764617346
00071 Fatty acid degradation [PATH:ko00071]	4.65504e-06	3.9123908e-05	2.5968685e-05	0	5.599853e-05	2.37754e-05	3.6835071e-05	8.437637e-05	0	0	4.68833e-06	1.8801e-05	2.921751e-06	0.0002879508	4.056137e-05	0	1.606765e-05	8.85517e-07	0.0001532386	0.00026876149	1.37896e-05	6.83927e-05	4.376063e-05	6.93504e-06	1.07604e-05	5.709146e-06	0	1.99406e-06	0.0005471321	1.767321e-06	0.0002051235	0.0001136417	5.030668e-05	1.156697e-05	2.994557e-05	5.325206e-05	1.0787549e-05	0.00010324145	1.600325e-06	0.0003051309	2.54488e-06	0.00049997528	0.00018933319	2.3825475e-05	8.895886e-06	8.243807e-05	8.288578e-05	9.00479e-05	2.182144e-05	6.195814e-05	8.28858e-06	0	8.83973e-05	1.07491e-05	0.0004447866	6.16906e-05	0.0005306127	0.0007973377	8.124448e-05	1.04131e-05	2.422762e-05	0	6.946159e-05	0	0.0003548231	0	2.775143e-05	0.00017242806	4.192514e-05	0	0.0006304134	2.018572e-05	0.00107998	3.5206e-05	0	3.04588e-05	0.00012029617	2.1559012e-05	2.65984e-05	2.33445e-05	0.0001132079	0.0001950804	2.0278309e-05	0.000130536	0.0002886176	6.9664382e-05	0.000531165	8.338661e-05	0	0	0	0.00017520951	2.146389e-05	0.00228668466	0	7.525979e-05	0.000160765	4.56363e-05	6.682764e-05	3.108642e-05	0.000212665335	0.0001965338	0.00019849	7.605225e-05	0	4.244084e-05	2.199359e-06	2.44374e-05	1.000262e-05	0.00013027956	5.56135e-06	0.00016879516	0	0.00011319493	1.6942289e-05	1.951537e-05	0	0.00028370166	3.6334533e-05	2.98864e-05	0.0001682721	0.001062867	0.00020480181	0	4.8531834e-05	0	6.000009e-05	0.0003969684	2.826705e-06
00121 Secondary bile acid biosynthesis [PATH:ko00121]	3.12178e-06	1.461394e-05	4.87683e-06	0	1.35442e-05	1.94994e-05	2.508198e-05	6.83025e-05	0	3.812848e-05	2.82514e-06	2.8836e-05	6.85696e-07	8.56115e-05	0	0	0	0	0.000111897	1.55128e-05	0	3.56382e-06	5.96836e-06	0	0	1.76377e-06	0	0	0.000181138128	1.38958e-06	0	0	3.00748e-05	2.37856e-05	2.298461e-05	1.63507e-05	6.54669e-06	6.12265e-06	3.43034e-05	2.725972e-05	3.81283e-05	0.00038080825	4.5267e-05	0	8.6268e-06	0	0	0	4.53377e-06	4.044061e-05	0	0	0	0	0.0002475998	0	9.29943e-05	0.000178469261	0.0002322675	7.31767e-06	1.22926e-05	0	4.01879e-05	0	1.692495e-05	6.22665e-06	2.21896e-06	2.933458e-05	0	0	5.35576e-05	5.14912e-06	0	0	0	4.634872e-06	0	1.069068e-05	0	0	3.959517e-05	9.71486e-05	0	0	5.812693e-05	0	0	2.80927e-06	0	0	0	0.00012432343	0	0	0	1.41384e-05	3.924972e-05	8.250408e-06	0	0	8.05105e-06	1.03197e-05	0	1.47087e-05	3.524718e-05	2.61347e-05	1.247834e-05	0	0	3.458649e-05	7.31549e-07	0	0	7.3089e-06	0	1.73319e-06	0	2.417331e-05	8.123479e-05	0	6.10789e-05	0.000268098	0.0009787506	0	0	0	3.32348e-07	0.000318192	0
00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]	0.001965322542	0.002587537925	0.003294089288	0.00235267128	0.00363583735	0.00023015884	0.00423240312	0.00542570197	0.0021245707	0.00196503256	0.00291258566	0.00286243708	0.00091546587	0.0042740951	0.00206466265	0.00088189612	0.001450902262	0.00054522351	0.0055798274	0.00450276989	0.00251988786	0.00319733007	0.00236467125	0.00236854856	0.0005576768	0.001095523905	0.00136745012	0.00230173792	0.00699687205	0.00242428224	0.0026277578	0.0013729869	0.00356178795	0.004019005399	0.00157514912	0.00125703097	0.001094432459	0.0033721133	0.002614063037	0.00355433465	0.00167705712	0.00477155991	0.00441472262	0.00260081109	0.002199174243	0.00264508262	0.00094096168	0.0026717283	0.00118359885	0.00173002653	0.0017072323	0.00149788144	0.0017856831	8.227379e-05	0.00298647724	0.00095845987	0.0034668114	0.00391365621	0.0034724799	0.00237883016	0.00336903067	0.0017003287	0.00232121724	0.0026646932	0.00289173484	0.0008894508	0.002881308417	0.00340309447	0.00354788387	0.00189460545	0.0042774352	0.00320855848	0.00023445109	0.0019805323	0.0017527498	0.00214236268	0.002583528822	0.002789575273	0.0010592314	0.00073239604	0.0032192353	0.00352174972	0.00120035458	0.0021459763	0.00379106748	0.00307883908	0.00247244074	0.0020812053	0.0030686467	0.0013764893	0.001615919287	0.00374596741	0.0020250778	0.00732548417	0.00291160301	0.00314801536	0.0048204408	0.00119154566	0.00213316378	0.00117764019	0.00232232312	0.00200103027	0.0009565719	0.00134856905	0.00249388238	0.0018240665	0.00426088662	6.3092e-05	0.00189679384	0.0012990159	0.00070328699	0.00197606635	0.001156175	0.00401882355	0.00142790803	0.00139245413	0.000745654858	0.00111391048	0.004760668101	0.00109553367	0.0038585791	0.0031161541	0.0032391422	0.0025351708	0.00258705913	0.00175988759	0.00302048213	0.0050207227	0.00368758779
00190 Oxidative phosphorylation [PATH:ko00190]	0.024437064978	0.02337331597	0.024336604236	0.01735912097	0.02510802881	0.0095868376	0.02837523462	0.03032089021	0.02004851882	0.01701709295	0.02321641641	0.0236209834	0.016686385213	0.0219960506	0.02300181275	0.01597092052	0.01458709894	0.014907708	0.02436092681	0.0264338214	0.02309374987	0.02556677125	0.02262442198	0.02046416017	0.0128039587	0.020714963646	0.01854963315	0.0213475221	0.012482546535	0.02294381491	0.01948021462	0.01367195391	0.02184502061	0.024478951456	0.01829537962	0.015605151878	0.01814660867	0.020089719479	0.022177059248	0.0262060644	0.026652839922	0.01982955953	0.02102608358	0.020914201382	0.022587698762	0.01625841754	0.01302901228	0.01939991195	0.01468303643	0.02006318041	0.01485571785	0.0176001873	0.01857041061	0.01064453243	0.0196720468	0.016354535271	0.0183156902	0.017923747759	0.01882102424	0.021651148101	0.02462823816	0.0194089307	0.02519281618	0.0201018159	0.01951307557	0.01652392838	0.02097632841	0.02218096836	0.022992631304	0.02373869324	0.02101785077	0.02414590264	0.0349022382	0.0223426963	0.01871655975	0.01887152991	0.02072841802	0.02074348123	0.01807773325	0.01779829527	0.0245126847	0.01855402093	0.0201284663	0.0239600469	0.01798819985	0.02345691723	0.01742713523	0.01777978108	0.0232057798	0.0211588347	0.013835355976	0.01780954603	0.02095397331	0.01897308738	0.023054353	0.02066481323	0.02877236508	0.019252339492	0.02229873865	0.01825723472	0.02384671358	0.0210683694	0.01448441504	0.01861383059	0.0212650903	0.02114218996	0.024366503209	0.0116356435	0.02198217717	0.01543829707	0.02163049169	0.0222398361	0.0132371973	0.02532273687	0.015772785544	0.01621187376	0.014182871358	0.018728439155	0.02621075818	0.02179643694	0.02405247052	0.0209404045	0.02309347562	0.0165344881	0.0248411731	0.01603687539	0.02407274362	0.0153463932	0.02482136488
00194 Photosynthesis proteins [BR:ko00194]	0	2.88461e-05	7.46029e-06	1.45182e-05	4.53834e-05	0	3.4007e-05	1.99588e-05	0	0	0	7.22081e-06	6.16103e-06	0.000118677	0	0	2.7349e-06	0	0.000233822	0.000120982	0	0	0	0	0	1.09525e-05	0	0	0.000770167	0	5.44517e-05	3.68136e-05	2.14082e-05	1.17405e-05	2.07468e-05	2.05716e-05	1.71252e-05	6.94463e-05	5.72969e-06	5.0758e-05	0	0.000225938	0.000123044	7.81359e-06	0	0	0	6.62213e-06	1.41479e-05	2.33155e-05	0	0	0	0	0.00053049	0	0.000164201	0.000678939	8.50947e-05	0	1.79206e-05	0	0.000229585	0	0.000108544	2.90677e-06	1.76125e-05	0.000114589	2.43133e-05	0	0.000175848	8.86641e-06	0	0	0	0	1.90943e-05	2.40466e-05	0	0	7.52329e-05	0.000379341	0	0	0.000114717	6.50059e-06	0.000229413	2.90818e-05	0	0	6.68185e-06	0.000273853	1.37647e-06	0	0	3.7369e-05	0.000100412	0	8.63033e-06	0	7.82284e-05	0.000118524	0	3.35658e-05	0	1.49646e-05	0	0	0	5.51371e-05	0	1.24699e-05	1.04775e-05	2.14833e-05	0	0	8.29194e-06	8.75545e-06	1.39158e-05	0	2.76393e-05	0	6.68353e-05	0	0	0	3.20834e-06	0.000516208	0
00270 Cysteine and methionine metabolism [PATH:ko00270]	0.00622443817	0.00601314873	0.00666259314	0.0062997103	0.0061706787	0.0037122908	0.007052142262	0.00755519074	0.0053966135	0.00619015949	0.00815156123	0.0065721205	0.00774810382	0.0065531197	0.008175495305	0.00674172688	0.011172216413	0.0065689733	0.00653890537	0.00639391514	0.00702347978	0.00712475753	0.00584756682	0.00518812251	0.0114161874	0.009501343846	0.00679748731	0.00563732567	0.004588633772	0.00496798121	0.00568800622	0.00474790238	0.00502479823	0.00576769304	0.00876823807	0.00559817299	0.0069364321	0.00640882787	0.00544571606	0.00594590361	0.008334713754	0.0051898165	0.00611870635	0.00610915788	0.0053166998	0.0082521163	0.0113675377	0.00818100625	0.00577061421	0.00721178553	0.0084147899	0.0085104438	0.0085666849	0.0064523957	0.0064506724	0.0098733241	0.00627654484	0.005877718839	0.00663433319	0.006316125268	0.00583384948	0.0037721601	0.00616750937	0.0097832687	0.0063236216	0.00835610276	0.00643080221	0.00704654943	0.00546501742	0.00709283557	0.00664925027	0.00571595411	0.0069612934	0.0107038873	0.0083734894	0.00719258895	0.00703725185	0.00588976179	0.00940550925	0.00819421722	0.005999261396	0.00586116274	0.00597316549	0.0105534596	0.0055495324	0.00656675748	0.0061469261	0.00681950571	0.00864251521	0.0086006338	0.00736096828	0.00723101829	0.00622548742	0.00492245646	0.005611429099	0.0096304426	0.00766604498	0.00704981579	0.006117378	0.00635548809	0.00777257477	0.00828068548	0.0081068522	0.00734644464	0.0062810289	0.00692953232	0.0049345048	0.0050053098	0.00733234364	0.00718734572	0.0100595218	0.00764406899	0.0106344691	0.00524320018	0.0047881907	0.00611761633	0.00829420869	0.01070316975	0.0081390668	0.0065025673	0.0060744766	0.005175051	0.00563044062	0.0134013317	0.00575803579	0.00590450088	0.006042650724	0.00581404825	0.00539410649
00310 Lysine degradation [PATH:ko00310]	0.00034107119	0.0002696397	0.000220047749	0.0001938201	0.00093458421	0.0004488459	0.00020761418	0.0006827407	6.18111e-05	0.00016539767	0.0002288914	0.00090650276	8.9593558e-05	0.00075460852	0.000121798355	6.445458e-05	8.800809e-05	2.417371e-05	0.00052188695	0.00047018392	9.555409e-05	0.00034608593	0.00018997466	9.672884e-05	1.14281e-05	0.00014084508	0.00011123906	0.00017014035	0.0017592302	9.11362e-05	0.00037709391	0.000124246419	9.37667e-05	0.0004053056	0.000146243949	9.290959e-05	0.001252018517	0.00042651971	0.000434132701	0.0019393579	0.00020318794	0.0015581502	0.0009587052	0.00033808704	0.000180077992	0.00022527033	5.406137e-05	0.0016408687	0.00020267742	0.00097262346	0.00010431189	0.0001275014	0.00042100618	0	0.0011302357	3.5700204e-05	0.00070536807	0.00143566697	0.00029959624	0.000177718054	0.000515658427	7.71638e-05	0.00088025963	0.0002879485	0.0018463577	0.00010332542	0.000576930238	0.00029472904	0.00024261646	0.00016320564	0.00087662688	0.00017676847	0	0.000411853	0.00010631301	0.00032174507	0.00028168837	0.00078854635	0.0001164208	0.0001349583	0.00089999262	0.0006944287	0.00080390884	0.0006985335	0.00105236379	0.000330138076	0.0002248121	0.000280811804	0.0002001169	0.0002099702	0.0001714952	0.00070391547	4.11504e-05	3.752242e-05	0.00010517724	0.00102567492	0.0005295249	0.000371202668	9.776072e-05	7.719803e-05	0.00041765465	0.00020685551	9.1658e-05	0.00039490059	0.00016226167	0.00100197883	0.000125284747	2.076854e-05	0.00013908588	0.00072391471	0.00026483743	0.00027554141	4.93452e-05	0.00035926506	5.008108e-05	0.0001974805	0.00015227961	0.00106638692	0.001027216213	0.0004014764	0.00063459092	9.8265e-05	0.0008852444	0.0001033577	0.000173068536	0.0001506884	0.00010342852	0.0018520829	2.1810705e-05
00311 Penicillin and cephalosporin biosynthesis [PATH:ko00311]	6.82225e-05	5.58748e-05	0.0001020391	0.0002389798	0.000302656	0.0002742516	2.984129e-05	4.66645e-05	0.000113496	0	9.98342e-05	0.000196752	7.790888e-05	6.49075e-05	2.178982e-05	0.000614567	0.000329059	0.00017711	1.45746e-05	2.896237e-05	4.634647e-05	8.18373e-05	6.420523e-05	1.96203e-05	1.66409e-05	4.09022e-05	4.27064e-05	4.19142e-05	2.40856e-06	3.055358e-05	3.185121e-05	3.768522e-05	3.57525e-05	0.0001281191	0.00030470767	0	0.0002616084	0.0002019773	0.0001171898	0.0002971791	0.0012354119	0.0001012457	0.0001717131	3.12046e-05	6.93877e-05	0.0001542973	7.2368e-05	0.0001816981	5.93594e-05	0.000288678	0.0005082539	1.40623e-05	9.41299e-05	0	0.0002857439	5.57116e-05	3.75865e-05	1.43216e-06	0.000809167	0.0002966453	9.05378e-05	0	0.0002717304	0.0006293346	0.0002143049	5.00959e-05	1.336577e-05	0.000125816	0.0001348277	0.0002504357	2.528663e-05	2.48108e-05	0.000149051	8.26558e-05	7.51327e-05	4.058738e-05	2.992442e-05	0.000342491	0.000150393	1.5346e-05	0.0001507021	8.03634e-05	0.000145482	0.0003048675	9.6563e-05	5.46427e-05	0	1.01096e-05	0.0002062781	3.927868e-05	0.0001488235	5.575563e-05	1.50885e-05	0	0.000104353	0.0001935515	0.0001622796	8.16059e-05	1.730165e-05	2.71756e-05	5.14603e-05	1.88468e-05	0.000180455	2.308689e-05	9.51827e-05	0.000373282	0.00010636302	0	3.53131e-05	0.0001649913	1.347789e-05	0.0002007906	0	4.13207e-05	2.722817e-05	1.560001e-05	0.000154793	0.00023376	0.000404017	7.57465e-05	0.0001825513	0	0.000124145	0.000196157	0.0001219593	3.04151e-05	7.87589e-05	2.14729e-05	0.000145694
