ko	name	level1	level2	level3	_feature_id
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00001
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00002
K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]	09100 Metabolism	09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00003
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	09100 Metabolism	09101 Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	K00004
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	09100 Metabolism	09101 Carbohydrate metabolism	00640 Propanoate metabolism [PATH:ko00640]	K00005
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	K00008
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	K00009
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	09100 Metabolism	09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism [PATH:ko00562]	K00010
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	K00012
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:ko00340]	K00013
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00014
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	09100 Metabolism	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00016
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00018
K00020	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	09100 Metabolism	09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00020
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00024
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K00027
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	09100 Metabolism	09101 Carbohydrate metabolism	00620 Pyruvate metabolism [PATH:ko00620]	K00029
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00030
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	09100 Metabolism	09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle) [PATH:ko00020]	K00031
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	09100 Metabolism	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00033
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	09100 Metabolism	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	K00036
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	K00040
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	09100 Metabolism	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	K00041
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00042
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	09100 Metabolism	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	K00045
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	09190 Not Included in Pathway or Brite	09191 Unclassified: metabolism	99980 Enzymes with EC numbers	K00046
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	09100 Metabolism	09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00048
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	09100 Metabolism	09101 Carbohydrate metabolism	00660 C5-Branched dibasic acid metabolism [PATH:ko00660]	K00052
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00053
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	09100 Metabolism	09109 Metabolism of terpenoids and polyketides	00900 Terpenoid backbone biosynthesis [PATH:ko00900]	K00054
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	09100 Metabolism	09103 Lipid metabolism	00564 Glycerophospholipid metabolism [PATH:ko00564]	K00057
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	09100 Metabolism	09102 Energy metabolism	00680 Methane metabolism [PATH:ko00680]	K00058
